lhs,est_dd_ext,est_dd_int,est_dd_thd,est_dm_ext,est_dm_int,est_dm_thd,est_md_ext,est_md_int,est_md_thd,est_mm_ext,est_mm_int,est_mm_thd,est_d_ext,est_d_int,est_d_thd,est_m_ext,est_m_int,est_m_thd,est_c_ext,est_c_int,est_c_thd,pvalue_dd_ext,pvalue_dd_int,pvalue_dd_thd,pvalue_dm_ext,pvalue_dm_int,pvalue_dm_thd,pvalue_md_ext,pvalue_md_int,pvalue_md_thd,pvalue_mm_ext,pvalue_mm_int,pvalue_mm_thd,pvalue_d_ext,pvalue_d_int,pvalue_d_thd,pvalue_m_ext,pvalue_m_int,pvalue_m_thd,pvalue_c_ext,pvalue_c_int,pvalue_c_thd
dd_ext,NA,0.14192411854031228,0.16867771916525298,0.4029999929963523,0.17088522039011547,0.17022676208168222,0.1531367249957808,0.04823613370061563,-0.09637651299152544,0.02954486201886778,0.08612817610364988,-0.04288864490459322,0.29730438100103956,0.1864623716834571,0.18244425284743496,0.23028535724098723,0.1962550106452264,0.23081284717237063,0.17723574029448314,0.2092921646547089,0.12781073178335395,NA,0.00238590761165413,0.01663238088047847,0,2.034838963993479e-11,1.1788319869143749e-6,0.00858504453882136,0.4832060551870696,0.4109708775488017,0.6986072107690688,0.13033433994597665,0.576678075232558,0,7.743583552155542e-12,2.487822259311656e-8,4.492454327647e-4,3.739882616369261e-4,0.00186872199968979,0.00155308901898854,3.1247413817436787e-4,0.04836941893454472
dd_int,0.14192411854031228,NA,0.5207303005195973,0.1708852203901155,0.29961302323503847,0.17696675934952752,-0.01962297075104191,0.16618318704546953,0.2251701295803365,0.05737096529571905,0.1692098661023115,-0.16539402092709263,0.11060679269023337,0.19414097780998107,0.16390548370130356,-0.115143256490602,0.05056139752993872,-0.2064549624964882,-0.0472968889608952,0.08389944125323315,-0.05744128570742908,0.00238590761165413,NA,0,2.034838963993479e-11,0,6.535783330097189e-7,0.7803901827561435,0.03019557115414151,0.05348013003331342,0.5154645448285065,0.01058386080220819,0.07799389784899624,3.017183850073657e-5,3.9968028886505635e-15,7.02638982552628e-8,0.17928172081069935,0.44785212541771946,0.04034792755867134,0.4803170870108764,0.23102498568093568,0.4694446031300656
dd_thd,0.16867771916525298,0.5207303005195973,NA,0.17022676208168216,0.17696675934952744,0.2029822173118943,-0.04457182516292873,0.1297830964496413,0.17799337511532773,-0.09861664607489223,0.2508236333206076,-0.1112132334678872,0.09515628735029934,0.09006124616187208,0.11799285448459965,-0.08090128434522782,-0.02223931678363771,-0.21015993836093297,-0.11361990753035164,0.07765765959957696,-0.06746979383282846,0.01663238088047847,0,NA,1.1788319869143749e-6,6.535783330097189e-7,0.00128191963380208,0.6842016590044488,0.2698473251892497,0.3081711376449301,0.5079161797643585,0.01224868571687687,0.4511600178921979,0.0053836980523354,0.00712863377207551,0.00533537087731939,0.5533140720578866,0.83035573351536,0.2274440575125576,0.27076472430809506,0.48236570101493426,0.5925506147963078
dm_ext,0.4029999929963523,0.1708852203901155,0.17022676208168216,NA,0.3713812132806525,0.29156876722589664,0.0505273380266521,0.04834386804346673,0.15124231575067124,0.199575704994966,0.16458140787814224,-0.04402524493633718,0.29730438100103956,0.1864623716834571,0.18244425284743496,0.31274154944347415,0.08969739430450105,0.19370044631712496,0.2392212488324303,0.10339012142067495,0.0618012616552748,0,2.034838963993479e-11,1.1788319869143749e-6,NA,4.440892098500626e-16,8.639472284244221e-7,0.5038300207145894,0.5803719200967814,0.24063088178158476,0.02707978995293247,0.02144932529743615,0.6611169843829319,0,7.743583552155542e-12,2.487822259311656e-8,3.72765423701793e-5,0.210902230390261,0.03170293265629498,7.190951200697349e-4,0.1698747168502268,0.45006744283147926
dm_int,0.17088522039011547,0.29961302323503847,0.17696675934952744,0.3713812132806525,NA,0.5302241109391997,0.03988074276155717,0.19767057483546596,0.1002275947370254,0.16180198970509724,0.2400473907757253,0.10741133029884949,0.11060679269023337,0.19414097780998105,0.1639054837013036,-0.0762072492227076,0.03448580315296468,-0.09219563651291186,0.09504211635150872,0.05814417942437484,-0.02741536818078435,2.034838963993479e-11,0,6.535783330097189e-7,4.440892098500626e-16,NA,0,0.4985816907980798,0.00254283716155123,0.3414230828230391,0.02738133918633112,9.449531054084304e-6,0.14636574657357104,3.017183850073657e-5,3.9968028886505635e-15,7.02638982552628e-8,0.2766840941493893,0.5362776360097665,0.24055324667360933,0.08873147549677873,0.3178901817013635,0.6767873977748324
dm_thd,0.17022676208168222,0.17696675934952752,0.2029822173118943,0.29156876722589664,0.5302241109391997,NA,0.00166887232628031,0.14563636421571802,-0.05730303918447056,0.22909073253714657,0.0962362585409524,0.04104348090559792,0.09515628735029934,0.09006124616187203,0.11799285448459967,0.03718685360389293,0.05997215449953544,-0.01246018539895467,0.03682977918227995,-0.01990001529317814,-0.00794540350571917,1.1788319869143749e-6,6.535783330097189e-7,0.00128191963380208,8.639472284244221e-7,0,NA,0.9837140351013908,0.1000198187359984,0.713515983603402,0.01348634342577992,0.20814920523591865,0.6838449565597875,0.0053836980523354,0.00712863377207573,0.00533537087731939,0.6898800544466299,0.4302723735125286,0.907130468941264,0.6294848478674562,0.800547916498763,0.9291905753602074
md_ext,0.1531367249957808,-0.01962297075104191,-0.04457182516292873,0.0505273380266521,0.03988074276155717,0.00166887232628031,NA,0.14192411854031228,0.16867771916525293,0.4029999929963524,0.1708852203901155,0.1702267620816822,0.28241125188638694,0.06315023051629715,0.07658779604910011,0.2973043810010395,0.18646237168345725,0.18244425284743496,0.21234991790302565,0.1743628415624454,0.1069183771513914,0.00858504453882136,0.7803901827561435,0.6842016590044488,0.5038300207145894,0.4985816907980798,0.9837140351013908,NA,0.00238590761165413,0.01663238088047847,0,2.034838963993479e-11,1.1788319869143749e-6,5.6087280819738794e-8,0.25727485734754385,0.33649300644291036,0,7.743583552155542e-12,2.487822259311656e-8,7.474601743528986e-5,0.00208012051544748,0.09113550078276587
md_int,0.04823613370061563,0.16618318704546953,0.1297830964496413,0.04834386804346673,0.19767057483546596,0.14563636421571802,0.14192411854031228,NA,0.5207303005195973,0.1708852203901155,0.29961302323503847,0.17696675934952746,0.09856370194258852,0.0469043332852421,-0.01454759857710227,0.11060679269023337,0.1941409778099812,0.1639054837013035,0.04110922871364925,0.02329945250820848,-0.03233808730326551,0.4832060551870696,0.03019557115414151,0.2698473251892497,0.5803719200967814,0.00254283716155123,0.1000198187359984,0.00238590761165413,NA,0,2.034838963993479e-11,0,6.535783330097189e-7,0.11706978877487906,0.4651976134025144,0.881765171233587,3.017183850073657e-5,3.9968028886505635e-15,7.02638982552628e-8,0.5143061895749799,0.7221919621723376,0.6617512339751439
md_thd,-0.09637651299152544,0.2251701295803365,0.17799337511532773,0.15124231575067124,0.1002275947370254,-0.05730303918447056,0.16867771916525293,0.5207303005195973,NA,0.17022676208168214,0.17696675934952744,0.2029822173118943,0.03200500905848914,0.07541996984828861,0.15926254802209375,0.09515628735029928,0.0900612461618722,0.11799285448459965,-0.0544641262316078,-0.02720523434673054,-0.0013392467121775,0.4109708775488017,0.05348013003331342,0.3081711376449301,0.24063088178158476,0.3414230828230391,0.713515983603402,0.01663238088047847,0,NA,1.1788319869143749e-6,6.535783330097189e-7,0.00128191963380208,0.7502134433204724,0.4499276852972631,0.2448471981039395,0.00538369805233562,0.00712863377207551,0.00533537087731939,0.5739960339215253,0.7871543769510843,0.9906280198895354
mm_ext,0.02954486201886778,0.05737096529571905,-0.09861664607489223,0.199575704994966,0.16180198970509724,0.22909073253714657,0.4029999929963524,0.1708852203901155,0.17022676208168214,NA,0.3713812132806524,0.29156876722589664,0.1591090326411238,0.07163946965154988,0.02710779591041138,0.29730438100103956,0.1864623716834571,0.18244425284743496,0.1526106240896306,0.03611980591979846,0.06776224436560374,0.6986072107690688,0.5154645448285065,0.5079161797643585,0.02707978995293247,0.02738133918633112,0.01348634342577992,0,2.034838963993479e-11,1.1788319869143749e-6,NA,4.440892098500626e-16,8.639472284244221e-7,0.02161121589751258,0.31686048282624824,0.7897368564869889,0,7.743583552155542e-12,2.487822259311656e-8,0.03132605813263312,0.6251145898133226,0.3968106333141528
