Df,AIC,BIC,Chisq,Chisq diff,Df diff,Pr(>Chisq),model_test
0,NA,NA,4.0466332246162116e-12,NA,NA,NA,fit_base...1
1,NA,NA,0.01555027130378379,0.016778309393354885,1,0.8969374072226568,fit_gme
1,NA,NA,23.552873092768422,27.377145183351402,1,1.6739800358499495e-7,fit_gmi
1,NA,NA,1.7625066965435403,1.7864270465986425,1,0.1813620984673841,fit_gmt
1,NA,NA,1.2503087133960904,1.3661527515670557,1,0.2424739955950505,fit_gfe
1,NA,NA,1.9899600828262023,2.1441086447232545,1,0.14311813782094768,fit_gfi
1,NA,NA,0.24897755565419802,0.2578548182021078,1,0.6115977684561119,fit_gft
3,NA,NA,25.330930060221714,26.77536272868356,3,6.561563272082272e-6,fit_gm
3,NA,NA,3.4892463517928833,3.7179487125367405,3,0.2935754068880667,fit_gf
6,NA,NA,28.820176413525274,30.32008834021359,6,3.4165785783379136e-5,fit_gp
5,NA,NA,5.267303319245956,5.567689527618694,5,0.35058055585982995,fit_thrsh
5,NA,NA,5.267303319245956,NA,NA,NA,fit_thrsh...1
8,NA,NA,10.499769947704872,5.435906583796633,3,0.14252276813961987,fit_cm_mf
8,NA,NA,8.935399048791114,3.6186627126419295,3,0.305694924725552,fit_cm_gm
8,NA,NA,9.3890156491883,4.17564851973542,3,0.24311126663974614,fit_cm_gf
14,NA,NA,27.198468034028828,21.658029996246793,9,0.01002831197319818,fit_cm_gp
20,NA,NA,80.219166641121,72.978387571023,15,1.3097101471666258e-9,fit_cm_mfgp
17,NA,NA,32.43093466330263,27.122069798665656,12,0.007420459498996156,fit_cm_mfgp1
14,NA,NA,18.289578006653738,13.158530482024519,9,0.15556315727239822,fit_cm_mfgp2
14,NA,NA,18.289578006653738,NA,NA,NA,fit_cm_mfgp2...1
17,NA,NA,21.42611779962702,3.411844440132518,3,0.3323768648835348,fit_am_mf
26,NA,NA,37.95463262909213,19.651916754559732,12,0.07396372919824504,fit_am_gp
29,NA,NA,41.09117242489417,23.135526358036852,15,0.08130447787840739,fit_am_mfgp
29,NA,NA,41.09117242489417,NA,NA,NA,fit_am_mfgp...1
38,NA,NA,55.491171644360335,16.38532196773388,9,0.05925821376299305,fit_ig_mf
56,NA,NA,60.84523620089725,21.529259161670694,27,0.7608963357100651,fit_ig_gp
65,NA,NA,75.24523542043143,36.811279719234776,36,0.4311585246002819,fit_ig_mfgp
65,NA,NA,75.24523542043143,NA,NA,NA,fit_ig_mfgp...1
71,NA,NA,87.51036001894187,11.182781524078493,6,0.08288897229916975,fit_gen1
74,NA,NA,89.46834102344269,12.125825319612503,9,0.20630848407186933,fit_gen2
80,NA,NA,101.73346561765304,22.96534824643508,15,0.08487835940437012,fit_gen3
