Df,AIC,BIC,Chisq,Chisq diff,Df diff,Pr(>Chisq),model_test
108,NA,NA,309.63747156600635,NA,NA,NA,fit_base...1
109,NA,NA,309.6530218373074,0.016778309394758256,1,0.8969374072183706,fit_gme
109,NA,NA,333.1903446843294,27.377145213059997,1,1.673980010132579e-7,fit_gmi
109,NA,NA,311.39997826213823,1.786427046185496,1,0.18136209851786225,fit_gmt
109,NA,NA,310.88778027915953,1.3661527513060545,1,0.24247399564004365,fit_gfe
109,NA,NA,311.6274316484271,2.1441086442907404,1,0.14311813786128486,fit_gfi
109,NA,NA,309.8864491238495,0.2578548204732951,1,0.6115977668876176,fit_gft
111,NA,NA,334.96840162910667,26.775362731721877,3,6.561563262461397e-6,fit_gm
111,NA,NA,313.1267179274553,3.7179487227304735,3,0.29357540566611867,fit_gf
114,NA,NA,338.45764798469503,30.320088345621762,6,3.416578570238233e-5,fit_gp
113,NA,NA,314.90477488709075,5.567689529537881,5,0.35058055565262025,fit_thrsh
113,NA,NA,314.90477488709075,NA,NA,NA,fit_thrsh...1
116,NA,NA,320.1372415079759,5.435906576055903,3,0.1425227686148849,fit_cm_mf
116,NA,NA,318.57287061494833,3.618662711024066,3,0.3056949249266203,fit_cm_gm
116,NA,NA,319.0264872168945,4.175648519596024,3,0.24311126665383234,fit_cm_gf
122,NA,NA,336.8359396152964,21.658030009328044,9,0.010028311926633678,fit_cm_gp
128,NA,NA,389.8566382128243,72.97838757475077,15,1.309710145146876e-9,fit_cm_mfgp
125,NA,NA,342.0684062453762,27.122069812663206,12,0.007420459464495901,fit_cm_mfgp1
122,NA,NA,327.92704956598516,13.158530473590261,9,0.15556315764023473,fit_cm_mfgp2
122,NA,NA,327.92704956598516,NA,NA,NA,fit_cm_mfgp2...1
125,NA,NA,331.0635893764767,3.411844458477623,3,0.33237686242853026,fit_am_mf
134,NA,NA,347.59210420419845,19.651916769644284,12,0.07396372888719065,fit_am_gp
137,NA,NA,350.728643995834,23.135526369285916,15,0.08130447764652975,fit_am_mfgp
137,NA,NA,350.728643995834,NA,NA,NA,fit_am_mfgp...1
146,NA,NA,365.12864321086096,16.385321962939017,9,0.05925821385274875,fit_ig_mf
164,NA,NA,370.48270693047573,21.529258391851933,27,0.7608963734841645,fit_ig_gp
173,NA,NA,384.8827061440616,36.8112789225248,36,0.431158560899692,fit_ig_mfgp
173,NA,NA,384.8827061440616,NA,NA,NA,fit_ig_mfgp...1
179,NA,NA,397.14783073471324,11.182781517273352,6,0.08288897249755378,fit_gen1
182,NA,NA,399.1058110905893,12.125824805640704,9,0.20630851229207312,fit_gen2
188,NA,NA,411.37093568370955,22.96534772103565,15,0.08487837064380738,fit_gen3
