lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper
md_ext,~~,dd_ext,,0.1531367249957808,0.05826786054971765,2.6281508116316594,0.008585044538821363,0.03893381686213199,0.2673396331294296
md_ext,~~,dd_int,,-0.019622970751041913,0.07038100800019424,-0.2788105954803568,0.7803901827561435,-0.157567211627048,0.11832127012496418
md_ext,~~,dd_thd,,-0.044571825162928735,0.10958407833656289,-0.40673632373889557,0.6842016590044488,-0.25935267198160794,0.17020902165575044
md_int,~~,dd_ext,,0.048236133700615635,0.06879521341888287,0.701155375547913,0.4832060551870696,-0.08660000690914138,0.18307227431037265
md_int,~~,dd_int,,0.16618318704546953,0.0766698965232962,2.1675154732336788,0.03019557115414151,0.015912951161396294,0.31645342292954276
md_int,~~,dd_thd,,0.1297830964496413,0.11761956151010651,1.1034142176978754,0.2698473251892497,-0.10074700798756098,0.3603132008868436
md_thd,~~,dd_ext,,-0.09637651299152544,0.11721979990896392,-0.8221862950318467,0.4109708775488017,-0.3261230990880862,0.1333700731050353
md_thd,~~,dd_int,,0.2251701295803365,0.11660661520120773,1.9310236318222567,0.05348013003331342,-0.003374636573151374,0.4537148957338244
md_thd,~~,dd_thd,,0.17799337511532773,0.17466306638023174,1.0190670460797138,0.3081711376449301,-0.16433994441925517,0.5203266946499107
md_ext,~~,dm_ext,,0.0505273380266521,0.07558590667749666,0.6684756490682546,0.5038300207145894,-0.0976183168000469,0.1986729928533511
md_ext,~~,dm_int,,0.039880742761557175,0.05893214799201366,0.6767230471043023,0.4985816907980798,-0.07562414483437405,0.1553856303574884
md_ext,~~,dm_thd,,0.0016688723262803101,0.08175597843129366,0.020412847577658214,0.9837140351013909,-0.1585699009198887,0.1619076455724493
md_int,~~,dm_ext,,0.04834386804346673,0.08744615667996128,0.552841541342948,0.5803719200967814,-0.123047449635704,0.21973518572263745
md_int,~~,dm_int,,0.19767057483546596,0.06549293773697645,3.0181967959556615,0.002542837161551237,0.06930677562926796,0.32603437404166397
md_int,~~,dm_thd,,0.14563636421571802,0.0885457944215611,1.6447575536151633,0.10001981873599841,-0.027910203833029334,0.31918293226446537
md_thd,~~,dm_ext,,0.15124231575067124,0.128891129093438,1.1734113651920144,0.24063088178158476,-0.10137965519916994,0.40386428670051244
md_thd,~~,dm_int,,0.10022759473702539,0.1053522225576651,0.9513571930783451,0.3414230828230391,-0.10625896716724642,0.3067141566412972
md_thd,~~,dm_thd,,-0.057303039184470564,0.15608032476053532,-0.36713813398573575,0.713515983603402,-0.36321485441043494,0.24860877604149384
