lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper
c_ext,|,t1,ce_t,-0.3106085272106516,0.04068314931546074,-7.634820126686003,2.2648549702353193e-14,-0.39034603464662,-0.2308710197746832
c_int,|,t1,ci_t,-0.5455634911820643,0.04221336079523151,-12.923953006927892,0,-0.6283001580071131,-0.46282682435701544
c_thd,|,t1,ct_t,0.9300557685857105,0.04698652727244482,19.79409466021849,0,0.8379638673731097,1.0221476697983114
m_ext,|,t1,me_t,1.0307482648684798,0.04888531303300373,21.08502944785472,0,0.9349348119508261,1.1265617177861336
m_int,|,t1,mi_t,-0.20650034670430384,0.04040909768345722,-5.110243943626623,3.217431041591112e-7,-0.2857007228116409,-0.1272999705969668
m_thd,|,t1,mt_t,1.2456408114845487,0.053755355552978425,23.172403915306845,0,1.1402822506245658,1.3509993723445317
d_ext,|,t1,de_t,0.3298639151147161,0.04104693603580672,8.036261581789294,8.881784197001252e-16,0.24941339880881563,0.4103144314206165
d_int,|,t1,di_t,0.35912946286811115,0.04145548108769654,8.66301520198004,0,0.2778782129744446,0.4403807127617777
d_thd,|,t1,dt_t,1.423854187803512,0.0596128566097565,23.885018581217896,0,1.3070151358328388,1.5406932397741853
mm_ext,|,t1,mme_t,1.2609861516799794,0.04096299309790004,30.783545251839122,0,1.1807001605091325,1.3412721428508263
mm_int,|,t1,mmi_t,0.17206288688477597,0.041678053188699625,4.1283810955792974,3.6532627196717016e-5,0.09037540368917997,0.253750370080372
mm_thd,|,t1,mmt_t,1.290770892801656,0.04103253664745592,31.457253152339188,0,1.2103485987783225,1.3711931868249894
md_ext,|,t1,mde_t,0.522016867774305,0.03234818990923934,16.137436723320512,0,0.4586155805871339,0.5854181549614761
md_int,|,t1,mdi_t,0.9795927254631812,0.03740266271524859,26.19045421768364,0,0.9062848536153949,1.0529005973109675
md_thd,|,t1,mdt_t,1.7835761777722867,0.05717936007130195,31.192657202672248,0,1.6715066913734873,1.8956456641710862
dm_ext,|,t1,dme_t,1.2609861516799787,0.040962993097900045,30.7835452518391,0,1.1807001605091318,1.3412721428508256
dm_int,|,t1,dmi_t,0.4666752142516255,0.04413739711246359,10.573238223869913,0,0.3801675055398547,0.5531829229633963
dm_thd,|,t1,dmt_t,1.2907708928016552,0.04103253664745591,31.457253152339177,0,1.2103485987783218,1.3711931868249887
dd_ext,|,t1,dde_t,0.5220168677743053,0.03234818990923934,16.137436723320523,0,0.45861558058713425,0.5854181549614764
dd_int,|,t1,ddi_t,0.9795927254631812,0.037402662715248586,26.190454217683648,0,0.9062848536153949,1.0529005973109675
dd_thd,|,t1,ddt_t,1.7835761777722867,0.05717936007130193,31.19265720267226,0,1.6715066913734873,1.8956456641710862
c_ext,~~,c_int,c_ei_c,0.2136513352173537,0.05180211369181908,4.1243748563699025,3.7174304331033525e-5,0.11212105805833911,0.31518161237636827
c_ext,~~,c_thd,c_et_c,0.3289537921664132,0.057313004348720796,5.7396012633519415,9.48997236349669e-9,0.21662236779713295,0.4412852165356934
c_int,~~,c_thd,c_it_c,0.5725921412957348,0.05567694827409189,10.284186886050625,0,0.46346732790941514,0.6817169546820544
m_ext,~~,m_int,m_ei_c,0.4560560766916036,0.03612472923964898,12.62448428792805,0,0.3852529084306306,0.5268592449525766
m_ext,~~,m_thd,m_et_c,0.5641974461274049,0.040983894641868114,13.766320918437922,0,0.4838704886831593,0.6445244035716504
m_int,~~,m_thd,m_it_c,0.6034044444265764,0.04104580716814779,14.700757179769337,0,0.5229561406606307,0.6838527481925221
d_ext,~~,d_int,d_ei_c,0.456056076691604,0.03612472923964898,12.62448428792806,0,0.385252908430631,0.526859244952577
d_ext,~~,d_thd,d_et_c,0.564197446127405,0.04098389464186812,13.766320918437922,0,0.4838704886831594,0.6445244035716505
d_int,~~,d_thd,d_it_c,0.6034044444265767,0.04104580716814778,14.70075717976935,0,0.5229561406606311,0.6838527481925223
mm_ext,~~,mm_int,mm_ei_c,0.37138154583136507,0.04561223682231853,8.142147189099138,4.440892098500626e-16,0.2819832044053091,0.46077988725742103
mm_ext,~~,mm_thd,mm_et_c,0.29156791927947884,0.059257869197004286,4.920324055361388,8.640103970058988e-7,0.17542462985276502,0.40771120870619265
mm_int,~~,mm_thd,mm_it_c,0.5302243908684433,0.041296555867080406,12.839433694544786,0,0.44928462868341945,0.6111641530534672
md_ext,~~,md_int,md_ei_c,0.14192505538336592,0.046724793333640394,3.0374678036549883,0.0023857488935199456,0.05034614326435356,0.23350396750237828
md_ext,~~,md_thd,md_et_c,0.1686812239799225,0.07043690365594624,2.394784767994022,0.016630124082957387,0.030627429631750247,0.30673501832809474
md_int,~~,md_thd,md_it_c,0.5207292039013071,0.060697034955755215,8.57915389575273,0,0.40176520141965816,0.6396932063829559
dm_ext,~~,dm_int,dm_ei_c,0.371381545831365,0.04561223682231851,8.142147189099141,4.440892098500626e-16,0.28198320440530905,0.460779887257421
dm_ext,~~,dm_thd,dm_et_c,0.2915679192794793,0.059257869197004286,4.920324055361396,8.640103970058988e-7,0.17542462985276547,0.4077112087061931
dm_int,~~,dm_thd,dm_it_c,0.5302243908684434,0.04129655586708041,12.839433694544786,0,0.44928462868341956,0.6111641530534673
dd_ext,~~,dd_int,dd_ei_c,0.14192505538336625,0.04672479333364041,3.0374678036549945,0.0023857488935197235,0.05034614326435387,0.23350396750237862
dd_ext,~~,dd_thd,dd_et_c,0.1686812239799224,0.07043690365594625,2.3947847679940204,0.01663012408295761,0.030627429631750136,0.3067350183280947
dd_int,~~,dd_thd,dd_it_c,0.5207292039013073,0.06069703495575523,8.579153895752732,0,0.4017652014196583,0.6396932063829562
m_ext,~~,d_ext,md_ee_a,0.40300034064807166,0.03534874835704543,11.400696188094278,0,0.33371806696969325,0.4722826143264501
m_ext,~~,d_int,md_ei_a,0.1708848217606652,0.025491937230755567,6.703485114285301,2.0350610085984044e-11,0.12092154289222856,0.22084810062910182
m_ext,~~,d_thd,md_et_a,0.17022791241944468,0.03503211781209551,4.859195591100411,1.178636507725983e-6,0.10156622320557337,0.238889601633316
m_int,~~,d_ext,md_ie_a,0.1708848217606657,0.025491937230755577,6.703485114285318,2.0350610085984044e-11,0.12092154289222905,0.22084810062910232
m_int,~~,d_int,md_ii_a,0.29961245553352617,0.03317330767544027,9.031732936156471,0,0.2345939672415971,0.36463094382545524
m_int,~~,d_thd,md_it_a,0.17696773752262457,0.03557354527300634,4.974700614304809,6.534855698792086e-7,0.10724486998512708,0.24669060506012205
d_ext,~~,m_thd,md_te_a,0.1702279124194449,0.03503211781209554,4.859195591100414,1.178636507725983e-6,0.10156622320557356,0.23888960163331624
d_int,~~,m_thd,md_ti_a,0.17696773752262465,0.03557354527300634,4.974700614304812,6.534855698792086e-7,0.10724486998512717,0.24669060506012214
m_thd,~~,d_thd,md_tt_a,0.202983656298885,0.06303801551852842,3.2200197710732685,0.0012818175602435922,0.07943141622569232,0.3265358963720777
mm_ext,~~,md_ext,mmd_ee_a,0.4030003406480717,0.03534874835704547,11.400696188094265,0,0.3337180669696932,0.47228261432645025
mm_ext,~~,md_int,mmd_ei_a,0.17088482176066513,0.025491937230755553,6.703485114285302,2.0350610085984044e-11,0.12092154289222853,0.22084810062910173
mm_ext,~~,md_thd,mmd_et_a,0.17022791241944477,0.035032117812095503,4.8591955911004145,1.178636507725983e-6,0.10156622320557347,0.23888960163331607
mm_int,~~,md_ext,mmd_ie_a,0.1708848217606654,0.025491937230755577,6.703485114285306,2.0350610085984044e-11,0.12092154289222877,0.22084810062910204
mm_int,~~,md_int,mmd_ii_a,0.2996124555335264,0.033173307675440265,9.03173293615648,0,0.23459396724159734,0.36463094382545547
mm_int,~~,md_thd,mmd_it_a,0.17696773752262468,0.03557354527300632,4.974700614304815,6.534855698792086e-7,0.10724486998512724,0.24669060506012214
md_ext,~~,mm_thd,mmd_te_a,0.1702279124194449,0.03503211781209554,4.859195591100414,1.178636507725983e-6,0.10156622320557356,0.23888960163331624
md_int,~~,mm_thd,mmd_ti_a,0.17696773752262504,0.03557354527300633,4.974700614304823,6.534855698792086e-7,0.10724486998512757,0.24669060506012253
mm_thd,~~,md_thd,mmd_tt_a,0.2029836562988851,0.06303801551852842,3.22001977107327,0.0012818175602435922,0.0794314162256924,0.3265358963720778
dm_ext,~~,dd_ext,dmd_ee_a,0.4030003406480719,0.03534874835704548,11.400696188094265,0,0.33371806696969336,0.4722826143264504
dm_ext,~~,dd_int,dmd_ei_a,0.1708848217606653,0.025491937230755556,6.703485114285308,2.0350610085984044e-11,0.1209215428922287,0.2208481006291019
dm_ext,~~,dd_thd,dmd_et_a,0.17022791241944477,0.03503211781209548,4.859195591100417,1.178636507725983e-6,0.10156622320557351,0.23888960163331602
dm_int,~~,dd_ext,dmd_ie_a,0.1708848217606655,0.02549193723075557,6.703485114285312,2.0350610085984044e-11,0.12092154289222887,0.22084810062910212
dm_int,~~,dd_int,dmd_ii_a,0.2996124555335267,0.033173307675440265,9.031732936156489,0,0.23459396724159767,0.3646309438254558
dm_int,~~,dd_thd,dmd_it_a,0.17696773752262485,0.03557354527300631,4.974700614304821,6.534855698792086e-7,0.1072448699851274,0.2466906050601223
dd_ext,~~,dm_thd,dmd_te_a,0.1702279124194448,0.035032117812095455,4.859195591100422,1.178636507725983e-6,0.1015662232055736,0.238889601633316
dd_int,~~,dm_thd,dmd_ti_a,0.1769677375226247,0.0355735452730063,4.974700614304818,6.534855698792086e-7,0.10724486998512728,0.24669060506012214
dm_thd,~~,dd_thd,dmd_tt_a,0.20298365629888537,0.0630380155185284,3.2200197710732748,0.0012818175602435922,0.0794314162256927,0.326535896372078
c_ext,~~,m_ext,mc_ee_i,0.2973048918681968,0.027938519676710176,10.64139744368894,0,0.24254639952048124,0.3520633842159124
c_int,~~,m_ext,mc_ei_i,0.18646224888411272,0.027247777100684253,6.8432095651366085,7.743805596760467e-12,0.1330575871079964,0.23986691066022905
m_ext,~~,c_thd,mc_et_i,0.18244395920423184,0.03273058481456702,5.574112416195926,2.48795046786654e-8,0.1182931917747469,0.2465947266337168
c_ext,~~,m_int,mc_ie_i,0.1106068066480514,0.02651064378840282,4.1721659998478335,3.0171768763853635e-5,0.0586468996158114,0.1625667136802914
c_int,~~,m_int,mc_ii_i,0.19414101189474375,0.02472478411101888,7.852081175836136,3.9968028886505635e-15,0.14568132551161858,0.24260069827786893
m_int,~~,c_thd,mc_it_i,0.16390465583398947,0.030406388622245647,5.3904677030298505,7.027454529406896e-8,0.10430922923445954,0.2235000824335194
c_ext,~~,m_thd,mc_te_i,0.09515649399256491,0.03419036696603259,2.7831375453530782,0.005383597759905712,0.028144606120933058,0.16216838186419677
c_int,~~,m_thd,mc_ti_i,0.09006196089039922,0.03347037893503782,2.6907959741118916,0.007128177382204504,0.024461223628817017,0.15566269815198142
m_thd,~~,c_thd,mc_tt_i,0.11799113986153306,0.04235121931461274,2.786015179044013,0.0053360372963036085,0.034984275303535,0.20099800441953114
c_ext,~~,d_ext,dc_ee_i,0.297304891868197,0.027938519676710193,10.64139744368894,0,0.24254639952048138,0.35206338421591254
c_int,~~,d_ext,dc_ei_i,0.18646224888411247,0.02724777710068425,6.8432095651366,7.743805596760467e-12,0.13305758710799614,0.2398669106602288
d_ext,~~,c_thd,dc_et_i,0.18244395920423173,0.032730584814567025,5.574112416195922,2.48795046786654e-8,0.11829319177474677,0.24659472663371668
c_ext,~~,d_int,dc_ie_i,0.11060680664805149,0.02651064378840282,4.172165999847837,3.0171768763853635e-5,0.05864689961581148,0.1625667136802915
c_int,~~,d_int,dc_ii_i,0.1941410118947436,0.024724784111018867,7.852081175836134,3.9968028886505635e-15,0.14568132551161844,0.24260069827786873
d_int,~~,c_thd,dc_it_i,0.1639046558339896,0.030406388622245643,5.390467703029856,7.027454529406896e-8,0.10430922923445969,0.22350008243351954
c_ext,~~,d_thd,dc_te_i,0.09515649399256496,0.03419036696603255,2.7831375453530827,0.005383597759905712,0.02814460612093317,0.16216838186419674
c_int,~~,d_thd,dc_ti_i,0.09006196089039956,0.033470378935037806,2.6907959741119023,0.0071281773822042815,0.024461223628817377,0.15566269815198175
d_thd,~~,c_thd,dc_tt_i,0.11799113986153334,0.042351219314612755,2.786015179044018,0.0053360372963036085,0.03498427530353525,0.20099800441953142
m_ext,~~,mm_ext,mmm_ee_i,0.29730489186819664,0.0279385196767102,10.641397443688925,0,0.24254639952048102,0.35206338421591227
m_int,~~,mm_ext,mmm_ei_i,0.18646224888411272,0.027247777100684264,6.843209565136606,7.743805596760467e-12,0.13305758710799637,0.23986691066022908
mm_ext,~~,m_thd,mmm_et_i,0.18244395920423181,0.03273058481456703,5.574112416195923,2.48795046786654e-8,0.11829319177474684,0.2465947266337168
m_ext,~~,mm_int,mmm_ie_i,0.11060680664805159,0.026510643788402816,4.172165999847841,3.0171768763853635e-5,0.058646899615811585,0.16256671368029157
m_int,~~,mm_int,mmm_ii_i,0.19414101189474364,0.02472478411101886,7.852081175836139,3.9968028886505635e-15,0.1456813255116185,0.2426006982778688
mm_int,~~,m_thd,mmm_it_i,0.16390465583398953,0.030406388622245633,5.390467703029855,7.027454529406896e-8,0.10430922923445962,0.22350008243351943
m_ext,~~,mm_thd,mmm_te_i,0.09515649399256504,0.03419036696603255,2.783137545353085,0.005383597759905712,0.028144606120933252,0.16216838186419683
m_int,~~,mm_thd,mmm_ti_i,0.09006196089039947,0.03347037893503779,2.690795974111901,0.0071281773822042815,0.024461223628817322,0.15566269815198164
m_thd,~~,mm_thd,mmm_tt_i,0.11799113986153303,0.04235121931461275,2.7860151790440115,0.0053360372963036085,0.034984275303534956,0.2009980044195311
m_ext,~~,md_ext,mdm_ee_i,0.2973048918681968,0.027938519676710225,10.641397443688922,0,0.24254639952048115,0.3520633842159125
m_int,~~,md_ext,mdm_ei_i,0.18646224888411317,0.027247777100684257,6.843209565136624,7.743805596760467e-12,0.1330575871079968,0.23986691066022953
md_ext,~~,m_thd,mdm_et_i,0.18244395920423176,0.03273058481456701,5.574112416195924,2.48795046786654e-8,0.11829319177474683,0.24659472663371668
m_ext,~~,md_int,mdm_ie_i,0.11060680664805175,0.026510643788402802,4.1721659998478495,3.0171768763853635e-5,0.05864689961581178,0.16256671368029174
m_int,~~,md_int,mdm_ii_i,0.1941410118947437,0.024724784111018878,7.852081175836135,3.9968028886505635e-15,0.14568132551161853,0.24260069827786887
md_int,~~,m_thd,mdm_it_i,0.1639046558339891,0.030406388622245657,5.390467703029837,7.027454529406896e-8,0.10430922923445916,0.22350008243351904
m_ext,~~,md_thd,mdm_te_i,0.09515649399256484,0.034190366966032525,2.7831375453530813,0.005383597759905712,0.028144606120933113,0.16216838186419658
m_int,~~,md_thd,mdm_ti_i,0.09006196089039992,0.03347037893503783,2.6907959741119116,0.0071281773822040595,0.024461223628817697,0.15566269815198214
m_thd,~~,md_thd,mdm_tt_i,0.11799113986153306,0.04235121931461274,2.786015179044013,0.0053360372963036085,0.034984275303535,0.20099800441953114
d_ext,~~,dm_ext,dmd_ee_i,0.29730489186819636,0.027938519676710186,10.64139744368892,0,0.2425463995204808,0.35206338421591193
d_int,~~,dm_ext,dmd_ei_i,0.1864622488841124,0.027247777100684267,6.8432095651365925,7.743805596760467e-12,0.13305758710799603,0.23986691066022875
dm_ext,~~,d_thd,dmd_et_i,0.1824439592042315,0.03273058481456703,5.574112416195914,2.48795046786654e-8,0.11829319177474654,0.24659472663371648
d_ext,~~,dm_int,dmd_ie_i,0.11060680664805154,0.026510643788402805,4.172165999847841,3.0171768763853635e-5,0.058646899615811564,0.16256671368029152
d_int,~~,dm_int,dmd_ii_i,0.19414101189474375,0.02472478411101885,7.852081175836146,3.9968028886505635e-15,0.14568132551161864,0.24260069827786887
dm_int,~~,d_thd,dmd_it_i,0.1639046558339899,0.03040638862224564,5.3904677030298656,7.027454529406896e-8,0.10430922923445998,0.2235000824335198
d_ext,~~,dm_thd,dmd_te_i,0.0951564939925652,0.03419036696603259,2.783137545353087,0.005383597759905712,0.02814460612093335,0.16216838186419708
d_int,~~,dm_thd,dmd_ti_i,0.09006196089039928,0.03347037893503783,2.6907959741118925,0.007128177382204504,0.024461223628817058,0.1556626981519815
