lhs,dd_ext,dd_int,dd_thd,dm_ext,dm_int,dm_thd,md_ext,md_int,md_thd,mm_ext,mm_int,mm_thd,d_ext,d_int,d_thd,m_ext,m_int,m_thd,c_ext,c_int,c_thd
dd_ext,NA,0.14192505538336625,0.1686812239799224,0.4030003406480719,0.1708848217606655,0.1702279124194448,NA,NA,NA,NA,NA,NA,0.2973048918681965,0.1864622488841126,0.1824439592042316,NA,NA,NA,NA,NA,NA
dd_int,0.14192505538336625,NA,0.5207292039013073,0.1708848217606653,0.2996124555335267,0.1769677375226247,NA,NA,NA,NA,NA,NA,0.11060680664805152,0.19414101189474367,0.16390465583398944,NA,NA,NA,NA,NA,NA
dd_thd,0.1686812239799224,0.5207292039013073,NA,0.17022791241944477,0.17696773752262485,0.20298365629888537,NA,NA,NA,NA,NA,NA,0.09515649399256504,0.09006196089039936,0.1179911398615328,NA,NA,NA,NA,NA,NA
dm_ext,0.4030003406480719,0.1708848217606653,0.17022791241944477,NA,0.371381545831365,0.2915679192794793,NA,NA,NA,NA,NA,NA,0.29730489186819636,0.1864622488841124,0.1824439592042315,NA,NA,NA,NA,NA,NA
dm_int,0.1708848217606655,0.2996124555335267,0.17696773752262485,0.371381545831365,NA,0.5302243908684434,NA,NA,NA,NA,NA,NA,0.11060680664805154,0.19414101189474375,0.1639046558339899,NA,NA,NA,NA,NA,NA
dm_thd,0.1702279124194448,0.1769677375226247,0.20298365629888537,0.2915679192794793,0.5302243908684434,NA,NA,NA,NA,NA,NA,NA,0.0951564939925652,0.09006196089039928,0.11799113986153302,NA,NA,NA,NA,NA,NA
md_ext,NA,NA,NA,NA,NA,NA,NA,0.14192505538336592,0.1686812239799225,0.4030003406480717,0.1708848217606654,0.1702279124194449,NA,NA,NA,0.2973048918681968,0.18646224888411317,0.18244395920423176,NA,NA,NA
md_int,NA,NA,NA,NA,NA,NA,0.14192505538336592,NA,0.5207292039013071,0.1708848217606651,0.2996124555335264,0.17696773752262504,NA,NA,NA,0.11060680664805175,0.1941410118947437,0.1639046558339891,NA,NA,NA
md_thd,NA,NA,NA,NA,NA,NA,0.1686812239799225,0.5207292039013071,NA,0.17022791241944477,0.17696773752262468,0.2029836562988851,NA,NA,NA,0.09515649399256484,0.09006196089039992,0.11799113986153306,NA,NA,NA
mm_ext,NA,NA,NA,NA,NA,NA,0.4030003406480717,0.1708848217606651,0.17022791241944477,NA,0.37138154583136507,0.29156791927947884,NA,NA,NA,0.29730489186819664,0.18646224888411272,0.1824439592042318,NA,NA,NA
mm_int,NA,NA,NA,NA,NA,NA,0.1708848217606654,0.2996124555335264,0.17696773752262468,0.37138154583136507,NA,0.5302243908684433,NA,NA,NA,0.1106068066480516,0.19414101189474364,0.16390465583398953,NA,NA,NA
mm_thd,NA,NA,NA,NA,NA,NA,0.1702279124194449,0.17696773752262504,0.2029836562988851,0.29156791927947884,0.5302243908684433,NA,NA,NA,NA,0.09515649399256504,0.09006196089039947,0.11799113986153303,NA,NA,NA
d_ext,0.2973048918681965,0.11060680664805152,0.09515649399256504,0.29730489186819636,0.11060680664805154,0.0951564939925652,NA,NA,NA,NA,NA,NA,NA,0.456056076691604,0.564197446127405,0.40300034064807166,0.1708848217606657,0.1702279124194449,0.297304891868197,0.18646224888411247,0.18244395920423173
d_int,0.1864622488841126,0.19414101189474367,0.09006196089039936,0.1864622488841124,0.19414101189474375,0.09006196089039928,NA,NA,NA,NA,NA,NA,0.456056076691604,NA,0.6034044444265767,0.1708848217606652,0.29961245553352617,0.17696773752262465,0.11060680664805148,0.1941410118947436,0.1639046558339896
d_thd,0.1824439592042316,0.16390465583398944,0.1179911398615328,0.1824439592042315,0.1639046558339899,0.11799113986153302,NA,NA,NA,NA,NA,NA,0.564197446127405,0.6034044444265767,NA,0.17022791241944468,0.17696773752262457,0.202983656298885,0.09515649399256496,0.09006196089039956,0.11799113986153334
m_ext,NA,NA,NA,NA,NA,NA,0.2973048918681968,0.11060680664805175,0.09515649399256484,0.29730489186819664,0.1106068066480516,0.09515649399256504,0.40300034064807166,0.1708848217606652,0.17022791241944468,NA,0.4560560766916036,0.5641974461274049,0.2973048918681968,0.18646224888411272,0.18244395920423184
m_int,NA,NA,NA,NA,NA,NA,0.18646224888411317,0.1941410118947437,0.09006196089039992,0.18646224888411272,0.19414101189474364,0.09006196089039947,0.1708848217606657,0.29961245553352617,0.17696773752262457,0.4560560766916036,NA,0.6034044444265764,0.1106068066480514,0.19414101189474375,0.16390465583398947
m_thd,NA,NA,NA,NA,NA,NA,0.18244395920423176,0.1639046558339891,0.11799113986153306,0.1824439592042318,0.16390465583398953,0.11799113986153303,0.1702279124194449,0.17696773752262465,0.202983656298885,0.5641974461274049,0.6034044444265764,NA,0.09515649399256491,0.09006196089039922,0.11799113986153306
c_ext,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.297304891868197,0.11060680664805148,0.09515649399256496,0.2973048918681968,0.1106068066480514,0.09515649399256491,NA,0.2136513352173537,0.3289537921664132
c_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18646224888411247,0.1941410118947436,0.09006196089039956,0.18646224888411272,0.19414101189474375,0.09006196089039922,0.2136513352173537,NA,0.5725921412957348
c_thd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18244395920423173,0.1639046558339896,0.11799113986153334,0.18244395920423184,0.16390465583398947,0.11799113986153306,0.3289537921664132,0.5725921412957348,NA
