Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table e_any_adhd * any_adhd,Row 1,0.0332,0.0002,0.0328,0.0336,
Table e_any_adhd * any_adhd,Row 2,0.2122,0.0024,0.2076,0.2168,
Table e_any_adhd * any_adhd,Total,0.0405,0.0002,0.0401,0.0410,
Table e_any_adhd * any_adhd,Difference,-0.1790,0.0024,-0.1837,-0.1744,1
Table e_any_adhd * any_sub,Row 1,0.0061,0.0001,0.0059,0.0062,
Table e_any_adhd * any_sub,Row 2,0.0151,0.0007,0.0138,0.0164,
Table e_any_adhd * any_sub,Total,0.0064,0.0001,0.0063,0.0066,
Table e_any_adhd * any_sub,Difference,-0.0090,0.0007,-0.0104,-0.0077,1
Table e_any_adhd * any_chad,Row 1,0.0603,0.0003,0.0598,0.0609,
Table e_any_adhd * any_chad,Row 2,0.1576,0.0020,0.1536,0.1617,
Table e_any_adhd * any_chad,Total,0.0643,0.0003,0.0638,0.0649,
Table e_any_adhd * any_chad,Difference,-0.0973,0.0021,-0.1014,-0.0933,1
Table e_any_adhd * any_dep,Row 1,0.0403,0.0002,0.0398,0.0407,
Table e_any_adhd * any_dep,Row 2,0.0744,0.0015,0.0715,0.0773,
Table e_any_adhd * any_dep,Total,0.0417,0.0002,0.0412,0.0421,
Table e_any_adhd * any_dep,Difference,-0.0341,0.0015,-0.0370,-0.0312,1
Table e_any_adhd * any_str,Row 1,0.0166,0.0002,0.0163,0.0169,
Table e_any_adhd * any_str,Row 2,0.0339,0.0010,0.0319,0.0359,
Table e_any_adhd * any_str,Total,0.0173,0.0002,0.0170,0.0176,
Table e_any_adhd * any_str,Difference,-0.0173,0.0010,-0.0193,-0.0152,1
Table e_any_adhd * any_anx,Row 1,0.0294,0.0002,0.0291,0.0298,
Table e_any_adhd * any_anx,Row 2,0.0499,0.0012,0.0476,0.0523,
Table e_any_adhd * any_anx,Total,0.0303,0.0002,0.0299,0.0307,
Table e_any_adhd * any_anx,Difference,-0.0205,0.0012,-0.0229,-0.0181,1
Table e_any_adhd * any_phb,Row 1,0.0094,0.0001,0.0092,0.0097,
Table e_any_adhd * any_phb,Row 2,0.0160,0.0007,0.0146,0.0173,
Table e_any_adhd * any_phb,Total,0.0097,0.0001,0.0095,0.0099,
Table e_any_adhd * any_phb,Difference,-0.0065,0.0007,-0.0079,-0.0052,1
Table e_any_adhd * any_ptsd,Row 1,0.0023,0.0001,0.0022,0.0024,
Table e_any_adhd * any_ptsd,Row 2,0.0068,0.0005,0.0059,0.0077,
Table e_any_adhd * any_ptsd,Total,0.0025,0.0001,0.0024,0.0026,
Table e_any_adhd * any_ptsd,Difference,-0.0045,0.0005,-0.0054,-0.0036,1
Table e_any_adhd * any_som,Row 1,0.0032,0.0001,0.0031,0.0033,
Table e_any_adhd * any_som,Row 2,0.0055,0.0004,0.0047,0.0063,
Table e_any_adhd * any_som,Total,0.0033,0.0001,0.0031,0.0034,
