Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table any_adhd * any_adhd,Row 1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
Table any_adhd * any_adhd,Row 2,1.0000,0.0000,1.0000,1.0000,0.9998,1.0000,
Table any_adhd * any_adhd,Total,0.0167,0.0001,0.0165,0.0169,0.0165,0.0169,
Table any_adhd * any_adhd,Difference,-1.0000,0.0000,-1.0000,-1.0000,_,_,1
Table any_adhd * any_sub,Row 1,0.0517,0.0002,0.0514,0.0521,0.0514,0.0521,
Table any_adhd * any_sub,Row 2,0.3099,0.0030,0.3040,0.3158,0.3040,0.3159,
Table any_adhd * any_sub,Total,0.0560,0.0002,0.0557,0.0564,0.0557,0.0564,
Table any_adhd * any_sub,Difference,-0.2581,0.0030,-0.2641,-0.2522,_,_,1
Table any_adhd * any_dep,Row 1,0.2523,0.0004,0.2516,0.2530,0.2516,0.2530,
Table any_adhd * any_dep,Row 2,0.6828,0.0030,0.6769,0.6888,0.6768,0.6888,
Table any_adhd * any_dep,Total,0.2595,0.0004,0.2587,0.2602,0.2587,0.2602,
Table any_adhd * any_dep,Difference,-0.4305,0.0031,-0.4366,-0.4245,_,_,1
Table any_adhd * any_str,Row 1,0.2412,0.0004,0.2405,0.2419,0.2405,0.2419,
Table any_adhd * any_str,Row 2,0.4367,0.0032,0.4303,0.4430,0.4303,0.4431,
Table any_adhd * any_str,Total,0.2444,0.0004,0.2437,0.2451,0.2437,0.2452,
Table any_adhd * any_str,Difference,-0.1955,0.0033,-0.2019,-0.1891,_,_,1
Table any_adhd * any_anx,Row 1,0.1218,0.0003,0.1213,0.1224,0.1213,0.1224,
Table any_adhd * any_anx,Row 2,0.4523,0.0033,0.4459,0.4587,0.4459,0.4587,
Table any_adhd * any_anx,Total,0.1273,0.0003,0.1268,0.1279,0.1268,0.1279,
Table any_adhd * any_anx,Difference,-0.3305,0.0033,-0.3369,-0.3241,_,_,1
Table any_adhd * any_phb,Row 1,0.0254,0.0001,0.0251,0.0256,0.0251,0.0256,
