Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table m_any_adhd * f_any_adhd,Row 1,0.0168,0.0001,0.0165,0.0170,0.0165,0.0170,
Table m_any_adhd * f_any_adhd,Row 2,0.1089,0.0026,0.1039,0.1140,0.1039,0.1141,
Table m_any_adhd * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_adhd * f_any_adhd,Difference,-0.0922,0.0026,-0.0972,-0.0871,_,_,1
Table m_any_adhd * f_any_sub,Row 1,0.0494,0.0002,0.0489,0.0498,0.0489,0.0498,
Table m_any_adhd * f_any_sub,Row 2,0.1705,0.0031,0.1644,0.1766,0.1644,0.1767,
Table m_any_adhd * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_adhd * f_any_sub,Difference,-0.1211,0.0031,-0.1272,-0.1150,_,_,1
Table m_any_adhd * f_any_dep,Row 1,0.3311,0.0005,0.3301,0.3322,0.3301,0.3322,
Table m_any_adhd * f_any_dep,Row 2,0.5474,0.0041,0.5394,0.5554,0.5393,0.5555,
Table m_any_adhd * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_adhd * f_any_dep,Difference,-0.2162,0.0041,-0.2244,-0.2081,_,_,1
Table m_any_adhd * f_any_str,Row 1,0.3184,0.0005,0.3174,0.3194,0.3174,0.3194,
Table m_any_adhd * f_any_str,Row 2,0.4491,0.0041,0.4411,0.4572,0.4411,0.4572,
Table m_any_adhd * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_adhd * f_any_str,Difference,-0.1307,0.0041,-0.1388,-0.1226,_,_,1
Table m_any_adhd * f_any_anx,Row 1,0.1655,0.0004,0.1647,0.1663,0.1647,0.1663,
Table m_any_adhd * f_any_anx,Row 2,0.3312,0.0039,0.3236,0.3388,0.3236,0.3388,
Table m_any_adhd * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_adhd * f_any_anx,Difference,-0.1657,0.0039,-0.1733,-0.1580,_,_,1
Table m_any_adhd * f_any_phb,Row 1,0.0333,0.0002,0.0329,0.0336,0.0329,0.0337,
Table m_any_adhd * f_any_phb,Row 2,0.0830,0.0023,0.0785,0.0874,0.0786,0.0875,
Table m_any_adhd * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_adhd * f_any_phb,Difference,-0.0497,0.0023,-0.0542,-0.0452,_,_,1
Table m_any_adhd * f_any_ptsd,Row 1,0.0272,0.0002,0.0269,0.0276,0.0269,0.0276,
Table m_any_adhd * f_any_ptsd,Row 2,0.0862,0.0023,0.0816,0.0907,0.0817,0.0908,
Table m_any_adhd * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_adhd * f_any_ptsd,Difference,-0.0590,0.0023,-0.0635,-0.0544,_,_,1
Table m_any_adhd * f_any_som,Row 1,0.0131,0.0001,0.0129,0.0134,0.0129,0.0134,
Table m_any_adhd * f_any_som,Row 2,0.0251,0.0013,0.0226,0.0276,0.0226,0.0277,
Table m_any_adhd * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_adhd * f_any_som,Difference,-0.0120,0.0013,-0.0145,-0.0094,_,_,1
Table m_any_adhd * f_any_psy,Row 1,0.0247,0.0002,0.0244,0.0250,0.0244,0.0250,
Table m_any_adhd * f_any_psy,Row 2,0.0805,0.0022,0.0761,0.0849,0.0762,0.0850,
Table m_any_adhd * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_adhd * f_any_psy,Difference,-0.0558,0.0023,-0.0602,-0.0514,_,_,1
Table m_any_adhd * f_any_oth,Row 1,0.2537,0.0005,0.2527,0.2546,0.2527,0.2546,
Table m_any_adhd * f_any_oth,Row 2,0.3939,0.0040,0.3860,0.4018,0.3860,0.4019,
Table m_any_adhd * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_adhd * f_any_oth,Difference,-0.1403,0.0041,-0.1482,-0.1323,_,_,1
Table m_any_adhd * f_any_slp,Row 1,0.2051,0.0004,0.2042,0.2060,0.2042,0.2060,
Table m_any_adhd * f_any_slp,Row 2,0.3046,0.0038,0.2972,0.3121,0.2972,0.3121,
Table m_any_adhd * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_adhd * f_any_slp,Difference,-0.0995,0.0038,-0.1070,-0.0920,_,_,1
Table m_any_adhd * f_any_sex,Row 1,0.0029,0.0001,0.0028,0.0031,0.0028,0.0031,
Table m_any_adhd * f_any_sex,Row 2,0.0054,0.0006,0.0043,0.0066,0.0043,0.0068,
Table m_any_adhd * f_any_sex,Total,0.0030,0.0001,0.0029,0.0031,0.0029,0.0031,
Table m_any_adhd * f_any_sex,Difference,-0.0025,0.0006,-0.0037,-0.0013,_,_,1
Table m_any_adhd * f_any_per,Row 1,0.0135,0.0001,0.0132,0.0137,0.0132,0.0137,
Table m_any_adhd * f_any_per,Row 2,0.0554,0.0019,0.0517,0.0590,0.0517,0.0592,
Table m_any_adhd * f_any_per,Total,0.0142,0.0001,0.0140,0.0145,0.0140,0.0145,
Table m_any_adhd * f_any_per,Difference,-0.0419,0.0019,-0.0456,-0.0382,_,_,1
Table m_any_adhd * f_any_sui,Row 1,0.0091,0.0001,0.0089,0.0093,0.0089,0.0093,
Table m_any_adhd * f_any_sui,Row 2,0.0338,0.0015,0.0309,0.0367,0.0309,0.0368,
Table m_any_adhd * f_any_sui,Total,0.0095,0.0001,0.0093,0.0097,0.0093,0.0097,
Table m_any_adhd * f_any_sui,Difference,-0.0247,0.0015,-0.0277,-0.0218,_,_,1
Table m_any_sub * f_any_adhd,Row 1,0.0158,0.0001,0.0155,0.0160,0.0155,0.0160,
Table m_any_sub * f_any_adhd,Row 2,0.0551,0.0010,0.0532,0.0570,0.0532,0.0570,
Table m_any_sub * f_any_adhd,Total,0.0184,0.0001,0.0181,0.0187,0.0181,0.0187,
Table m_any_sub * f_any_adhd,Difference,-0.0394,0.0010,-0.0413,-0.0374,_,_,1
Table m_any_sub * f_any_sub,Row 1,0.0413,0.0002,0.0409,0.0418,0.0409,0.0418,
Table m_any_sub * f_any_sub,Row 2,0.1948,0.0017,0.1915,0.1980,0.1915,0.1981,
Table m_any_sub * f_any_sub,Total,0.0515,0.0002,0.0510,0.0519,0.0510,0.0519,
Table m_any_sub * f_any_sub,Difference,-0.1534,0.0017,-0.1568,-0.1501,_,_,1
Table m_any_sub * f_any_dep,Row 1,0.3240,0.0005,0.3230,0.3251,0.3230,0.3251,
Table m_any_sub * f_any_dep,Row 2,0.4885,0.0021,0.4844,0.4927,0.4844,0.4927,
Table m_any_sub * f_any_dep,Total,0.3349,0.0005,0.3339,0.3359,0.3339,0.3359,
Table m_any_sub * f_any_dep,Difference,-0.1645,0.0022,-0.1688,-0.1602,_,_,1
Table m_any_sub * f_any_str,Row 1,0.3138,0.0005,0.3127,0.3148,0.3127,0.3148,
Table m_any_sub * f_any_str,Row 2,0.4179,0.0021,0.4138,0.4220,0.4138,0.4220,
Table m_any_sub * f_any_str,Total,0.3207,0.0005,0.3197,0.3217,0.3197,0.3217,
Table m_any_sub * f_any_str,Difference,-0.1041,0.0021,-0.1083,-0.0999,_,_,1
Table m_any_sub * f_any_anx,Row 1,0.1594,0.0004,0.1586,0.1602,0.1586,0.1602,
Table m_any_sub * f_any_anx,Row 2,0.2954,0.0019,0.2917,0.2992,0.2917,0.2992,
Table m_any_sub * f_any_anx,Total,0.1684,0.0004,0.1676,0.1692,0.1676,0.1692,
Table m_any_sub * f_any_anx,Difference,-0.1361,0.0020,-0.1399,-0.1322,_,_,1
Table m_any_sub * f_any_phb,Row 1,0.0320,0.0002,0.0316,0.0324,0.0316,0.0324,
Table m_any_sub * f_any_phb,Row 2,0.0645,0.0010,0.0624,0.0665,0.0625,0.0665,
Table m_any_sub * f_any_phb,Total,0.0341,0.0002,0.0337,0.0345,0.0337,0.0345,
Table m_any_sub * f_any_phb,Difference,-0.0325,0.0011,-0.0346,-0.0304,_,_,1
Table m_any_sub * f_any_ptsd,Row 1,0.0258,0.0002,0.0255,0.0262,0.0255,0.0262,
Table m_any_sub * f_any_ptsd,Row 2,0.0622,0.0010,0.0602,0.0642,0.0602,0.0642,
Table m_any_sub * f_any_ptsd,Total,0.0282,0.0002,0.0279,0.0286,0.0279,0.0286,
Table m_any_sub * f_any_ptsd,Difference,-0.0363,0.0010,-0.0384,-0.0343,_,_,1
Table m_any_sub * f_any_som,Row 1,0.0129,0.0001,0.0126,0.0131,0.0126,0.0131,
Table m_any_sub * f_any_som,Row 2,0.0201,0.0006,0.0189,0.0213,0.0190,0.0213,
Table m_any_sub * f_any_som,Total,0.0133,0.0001,0.0131,0.0136,0.0131,0.0136,
Table m_any_sub * f_any_som,Difference,-0.0073,0.0006,-0.0084,-0.0061,_,_,1
Table m_any_sub * f_any_psy,Row 1,0.0225,0.0002,0.0222,0.0229,0.0222,0.0229,
Table m_any_sub * f_any_psy,Row 2,0.0696,0.0011,0.0675,0.0717,0.0675,0.0717,
Table m_any_sub * f_any_psy,Total,0.0257,0.0002,0.0253,0.0260,0.0253,0.0260,
Table m_any_sub * f_any_psy,Difference,-0.0470,0.0011,-0.0492,-0.0449,_,_,1
Table m_any_sub * f_any_oth,Row 1,0.2502,0.0005,0.2492,0.2511,0.2492,0.2511,
Table m_any_sub * f_any_oth,Row 2,0.3399,0.0020,0.3360,0.3438,0.3360,0.3438,
Table m_any_sub * f_any_oth,Total,0.2561,0.0005,0.2552,0.2570,0.2552,0.2570,
Table m_any_sub * f_any_oth,Difference,-0.0897,0.0021,-0.0938,-0.0857,_,_,1
Table m_any_sub * f_any_slp,Row 1,0.2000,0.0005,0.1992,0.2009,0.1992,0.2009,
Table m_any_sub * f_any_slp,Row 2,0.3027,0.0019,0.2989,0.3065,0.2989,0.3065,
Table m_any_sub * f_any_slp,Total,0.2068,0.0004,0.2060,0.2077,0.2060,0.2077,
Table m_any_sub * f_any_slp,Difference,-0.1027,0.0020,-0.1066,-0.0988,_,_,1
