Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_,Outcome
any_adhd,0,0,,,,MLE,any_adhd
any_sub,1,2.1078,0.0147,20650.7798,<.0001,MLE,any_adhd
any_dep,1,1.8533,0.0142,17033.3019,<.0001,MLE,any_adhd
any_str,1,0.8918,0.0133,4465.4187,<.0001,MLE,any_adhd
any_anx,1,1.7840,0.0134,17708.2406,<.0001,MLE,any_adhd
any_phb,1,1.6898,0.0206,6718.1256,<.0001,MLE,any_adhd
any_ptsd,1,1.7991,0.0236,5812.7207,<.0001,MLE,any_adhd
any_som,1,1.1253,0.0406,769.9769,<.0001,MLE,any_adhd
any_psy,1,2.2817,0.0189,14591.0959,<.0001,MLE,any_adhd
any_oth,1,1.4155,0.0133,11379.4012,<.0001,MLE,any_adhd
any_slp,1,1.2828,0.0134,9144.1984,<.0001,MLE,any_adhd
any_sex,1,0.9809,0.0269,1327.0412,<.0001,MLE,any_adhd
any_per,1,2.4958,0.0223,12570.2425,<.0001,MLE,any_adhd
any_sui,1,2.2406,0.0271,6817.7649,<.0001,MLE,any_adhd
any_adhd,1,2.1083,0.0147,20666.3093,<.0001,MLE,any_sub
any_sub,1,32.9332,215.8,0.0233,0.8787,MLE,any_sub
any_dep,1,1.3794,0.00748,34049.4943,<.0001,MLE,any_sub
any_str,1,0.6564,0.00766,7344.6177,<.0001,MLE,any_sub
any_anx,1,1.6142,0.00783,42456.8090,<.0001,MLE,any_sub
any_phb,1,1.3931,0.0139,10093.4170,<.0001,MLE,any_sub
any_ptsd,1,1.4702,0.0164,8056.0810,<.0001,MLE,any_sub
any_som,1,0.8508,0.0267,1014.9507,<.0001,MLE,any_sub
any_psy,1,2.0495,0.0132,23930.1850,<.0001,MLE,any_sub
any_oth,1,0.8500,0.00781,11846.9579,<.0001,MLE,any_sub
any_slp,1,1.1444,0.00772,21990.8265,<.0001,MLE,any_sub
any_sex,1,0.9703,0.0159,3735.0005,<.0001,MLE,any_sub
any_per,1,2.0344,0.0171,14077.8275,<.0001,MLE,any_sub
any_sui,1,2.8408,0.0181,24698.8064,<.0001,MLE,any_sub
any_adhd,1,1.8530,0.0142,17028.9877,<.0001,MLE,any_dep
any_sub,1,1.3794,0.00748,34049.3194,<.0001,MLE,any_dep
any_dep,1,19.4359,0.2612,5535.5667,<.0001,MLE,any_dep
any_str,1,1.1158,0.00421,70105.8729,<.0001,MLE,any_dep
any_anx,1,1.8159,0.00536,114748.867,<.0001,MLE,any_dep
any_phb,1,1.6031,0.0108,22023.9693,<.0001,MLE,any_dep
