Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,tValue,ProbT,Outcome
e_any_adhd,484130,0,,,,,,any_adhd
e_any_sub,484130,0.7576,0.0194,1525.0756672,<.0001,39.05,<.0001,any_adhd
e_any_dep,484130,0.7037,0.0134,2758.7718327,<.0001,52.52,<.0001,any_adhd
e_any_str,484130,0.5801,0.0133,1907.6967549,<.0001,43.68,<.0001,any_adhd
e_any_anx,484130,0.5004,0.0144,1215.0873189,<.0001,34.86,<.0001,any_adhd
e_any_phb,484130,0.4992,0.0252,393.40505477,<.0001,19.83,<.0001,any_adhd
e_any_ptsd,484130,0.5417,0.0270,403.51969902,<.0001,20.09,<.0001,any_adhd
e_any_som,484130,0.2745,0.0405,46.00214757,<.0001,6.78,<.0001,any_adhd
e_any_psy,484130,0.7032,0.0285,609.87578373,<.0001,24.70,<.0001,any_adhd
e_any_oth,484130,0.5139,0.0133,1502.0356153,<.0001,38.76,<.0001,any_adhd
e_any_slp,484130,0.5301,0.0137,1487.4943584,<.0001,38.57,<.0001,any_adhd
e_any_sex,484130,0.3648,0.0281,168.99387937,<.0001,13.00,<.0001,any_adhd
e_any_sui,484130,0.8741,0.0385,516.47009425,<.0001,22.73,<.0001,any_adhd
e_any_per,484130,0.8271,0.0332,622.50198345,<.0001,24.95,<.0001,any_adhd
e_any_adhd,458729,0.6953,0.0678,105.26550831,<.0001,10.26,<.0001,any_sub
e_any_sub,458729,0,,,,,,any_sub
e_any_dep,458729,0.6382,0.0314,412.4000068,<.0001,20.31,<.0001,any_sub
e_any_str,458729,0.6243,0.0314,395.19696318,<.0001,19.88,<.0001,any_sub
e_any_anx,458729,0.4161,0.0347,143.55994616,<.0001,11.98,<.0001,any_sub
e_any_phb,458729,0.2733,0.0663,17.010734914,<.0001,4.12,<.0001,any_sub
e_any_ptsd,458729,0.6726,0.0616,119.3409734,<.0001,10.92,<.0001,any_sub
e_any_som,458729,0.1934,0.0995,3.7779472888,0.0519,1.94,0.0519,any_sub
e_any_psy,458729,0.7098,0.0686,107.16151657,<.0001,10.35,<.0001,any_sub
e_any_oth,458729,0.3730,0.0315,140.47184951,<.0001,11.85,<.0001,any_sub
e_any_slp,458729,0.5054,0.0326,241.05717757,<.0001,15.53,<.0001,any_sub
e_any_sex,458729,0.6572,0.0601,119.44061957,<.0001,10.93,<.0001,any_sub
e_any_sui,458729,0.7523,0.1104,46.452200735,<.0001,6.82,<.0001,any_sub
e_any_per,458729,0.6290,0.0878,51.364296129,<.0001,7.17,<.0001,any_sub
e_any_adhd,278159,0.6595,0.0587,126.2930312,<.0001,11.24,<.0001,any_dep
e_any_sub,278159,0.5258,0.0382,189.16221116,<.0001,13.75,<.0001,any_dep
e_any_dep,278159,0,,,,,,any_dep
e_any_str,278159,0.5542,0.0187,874.78780111,<.0001,29.58,<.0001,any_dep
e_any_anx,278159,0.3606,0.0254,202.31641839,<.0001,14.22,<.0001,any_dep
e_any_phb,278159,0.3700,0.0504,53.986528133,<.0001,7.35,<.0001,any_dep
e_any_ptsd,278159,0.5937,0.0626,89.818159153,<.0001,9.48,<.0001,any_dep
e_any_som,278159,0.3752,0.0705,28.357498859,<.0001,5.33,<.0001,any_dep
e_any_psy,278159,0.5920,0.0745,63.125494103,<.0001,7.95,<.0001,any_dep
e_any_oth,278159,0.3862,0.0198,379.53180305,<.0001,19.48,<.0001,any_dep
e_any_slp,278159,0.4364,0.0215,410.25626363,<.0001,20.25,<.0001,any_dep
e_any_sex,278159,0.4668,0.0437,113.96205095,<.0001,10.68,<.0001,any_dep
e_any_sui,278159,0.9401,0.1186,62.866201476,<.0001,7.93,<.0001,any_dep
e_any_per,278159,0.5960,0.0961,38.475419933,<.0001,6.20,<.0001,any_dep
e_any_adhd,286918,0.9772,0.0660,219.41020822,<.0001,14.81,<.0001,any_str
e_any_sub,286918,0.9305,0.0480,375.54918301,<.0001,19.38,<.0001,any_str
e_any_dep,286918,0.9003,0.0319,796.12157133,<.0001,28.22,<.0001,any_str
e_any_str,286918,0,,,,,,any_str
e_any_anx,286918,0.6724,0.0355,358.6137269,<.0001,18.94,<.0001,any_str
e_any_phb,286918,0.6075,0.0632,92.519879584,<.0001,9.62,<.0001,any_str
e_any_ptsd,286918,1.0246,0.0640,256.61605923,<.0001,16.02,<.0001,any_str
e_any_som,286918,0.6740,0.0933,52.169000045,<.0001,7.22,<.0001,any_str
e_any_psy,286918,1.1135,0.0635,307.49800024,<.0001,17.54,<.0001,any_str
e_any_oth,286918,0.5194,0.0326,254.41234782,<.0001,15.95,<.0001,any_str
e_any_slp,286918,0.6652,0.0339,384.74433246,<.0001,19.61,<.0001,any_str
e_any_sex,286918,0.5160,0.0700,54.285369732,<.0001,7.37,<.0001,any_str
e_any_sui,286918,1.2625,0.1017,153.98016514,<.0001,12.41,<.0001,any_str
e_any_per,286918,1.1506,0.0775,220.62645216,<.0001,14.85,<.0001,any_str
e_any_adhd,384584,0.5123,0.0433,139.68817124,<.0001,11.82,<.0001,any_anx
e_any_sub,384584,0.3589,0.0315,129.9886039,<.0001,11.40,<.0001,any_anx
e_any_dep,384584,0.6855,0.0166,1696.0555249,<.0001,41.18,<.0001,any_anx
e_any_str,384584,0.5696,0.0166,1171.3281259,<.0001,34.22,<.0001,any_anx
e_any_anx,384584,0,,,,,,any_anx
e_any_phb,384584,0.5628,0.0409,189.40971495,<.0001,13.76,<.0001,any_anx
e_any_ptsd,384584,0.5535,0.0411,181.62497137,<.0001,13.48,<.0001,any_anx
e_any_som,384584,0.3630,0.0619,34.416821779,<.0001,5.87,<.0001,any_anx
e_any_psy,384584,0.6243,0.0433,207.75868162,<.0001,14.41,<.0001,any_anx
e_any_oth,384584,0.4769,0.0169,798.37806405,<.0001,28.26,<.0001,any_anx
e_any_slp,384584,0.4828,0.0179,725.20326462,<.0001,26.93,<.0001,any_anx
e_any_sex,384584,0.4201,0.0365,132.51454727,<.0001,11.51,<.0001,any_anx
e_any_sui,384584,0.5515,0.0697,62.685499293,<.0001,7.92,<.0001,any_anx
e_any_per,384584,0.5154,0.0598,74.184946964,<.0001,8.61,<.0001,any_anx
e_any_adhd,479352,0.5143,0.0515,99.892179242,<.0001,9.99,<.0001,any_phb
e_any_sub,479352,0.3254,0.0393,68.422722058,<.0001,8.27,<.0001,any_phb
e_any_dep,479352,0.6447,0.0242,710.19868069,<.0001,26.65,<.0001,any_phb
e_any_str,479352,0.4965,0.0240,427.77573809,<.0001,20.68,<.0001,any_phb
e_any_anx,479352,0.5520,0.0259,455.73576266,<.0001,21.35,<.0001,any_phb
e_any_phb,479352,0,,,,,,any_phb
e_any_ptsd,479352,0.3888,0.0508,58.478234612,<.0001,7.65,<.0001,any_phb
e_any_som,479352,0.3857,0.0699,30.449325886,<.0001,5.52,<.0001,any_phb
e_any_psy,479352,0.5876,0.0517,129.21192469,<.0001,11.37,<.0001,any_phb
e_any_oth,479352,0.5015,0.0240,437.06044964,<.0001,20.91,<.0001,any_phb
e_any_slp,479352,0.4972,0.0249,400.31754234,<.0001,20.01,<.0001,any_phb
e_any_sex,479352,0.3461,0.0515,45.134738547,<.0001,6.72,<.0001,any_phb
e_any_sui,479352,0.5085,0.0776,42.986675414,<.0001,6.56,<.0001,any_phb
e_any_per,479352,0.5306,0.0664,63.821671075,<.0001,7.99,<.0001,any_phb
e_any_adhd,483899,1.0241,0.0879,135.84607562,<.0001,11.66,<.0001,any_ptsd
e_any_sub,483899,1.2091,0.0634,363.42888447,<.0001,19.06,<.0001,any_ptsd
e_any_dep,483899,1.1763,0.0571,423.69079425,<.0001,20.58,<.0001,any_ptsd
e_any_str,483899,1.2193,0.0570,457.35788337,<.0001,21.39,<.0001,any_ptsd
e_any_anx,483899,0.7137,0.0545,171.69193332,<.0001,13.10,<.0001,any_ptsd
e_any_phb,483899,0.5096,0.0978,27.153666316,<.0001,5.21,<.0001,any_ptsd
e_any_ptsd,483899,0,,,,,,any_ptsd
e_any_som,483899,0.6478,0.1383,21.932027258,<.0001,4.68,<.0001,any_ptsd
e_any_psy,483899,1.1700,0.0881,176.35000612,<.0001,13.28,<.0001,any_ptsd
e_any_oth,483899,0.7823,0.0525,221.84205372,<.0001,14.89,<.0001,any_ptsd
e_any_slp,483899,0.7773,0.0529,216.07776981,<.0001,14.70,<.0001,any_ptsd
e_any_sex,483899,0.6314,0.0980,41.546344985,<.0001,6.45,<.0001,any_ptsd
e_any_sui,483899,1.6364,0.1037,249.03845731,<.0001,15.78,<.0001,any_ptsd
e_any_per,483899,1.3342,0.1040,164.43716503,<.0001,12.82,<.0001,any_ptsd
e_any_adhd,496641,0.5629,0.0789,50.914674237,<.0001,7.14,<.0001,any_som
e_any_sub,496641,0.4875,0.0597,66.586543955,<.0001,8.16,<.0001,any_som
e_any_dep,496641,0.4908,0.0400,150.88527059,<.0001,12.28,<.0001,any_som
e_any_str,496641,0.4990,0.0399,156.18882198,<.0001,12.50,<.0001,any_som
e_any_anx,496641,0.4754,0.0429,122.88934703,<.0001,11.09,<.0001,any_som
e_any_phb,496641,0.5030,0.0729,47.559113019,<.0001,6.90,<.0001,any_som
e_any_ptsd,496641,0.6778,0.0743,83.294989323,<.0001,9.13,<.0001,any_som
e_any_som,496641,0,,,,,,any_som
e_any_psy,496641,0.5437,0.0838,42.055267045,<.0001,6.49,<.0001,any_som
e_any_oth,496641,0.4494,0.0399,127.09940105,<.0001,11.27,<.0001,any_som
e_any_slp,496641,0.4139,0.0416,99.216053888,<.0001,9.96,<.0001,any_som
e_any_sex,496641,0.4265,0.0813,27.531914462,<.0001,5.25,<.0001,any_som
e_any_sui,496641,0.5209,0.1214,18.401061712,<.0001,4.29,<.0001,any_som
e_any_per,496641,0.6050,0.0994,37.056695267,<.0001,6.09,<.0001,any_som
e_any_adhd,487422,1.0151,0.0996,103.83020687,<.0001,10.19,<.0001,any_psy
e_any_sub,487422,0.7290,0.0817,79.643776121,<.0001,8.92,<.0001,any_psy
e_any_dep,487422,0.9184,0.0596,237.71907012,<.0001,15.42,<.0001,any_psy
e_any_str,487422,0.9224,0.0597,238.37031643,<.0001,15.44,<.0001,any_psy
e_any_anx,487422,0.6186,0.0605,104.45320912,<.0001,10.22,<.0001,any_psy
e_any_phb,487422,0.4484,0.1095,16.756267574,<.0001,4.09,<.0001,any_psy
e_any_ptsd,487422,0.8573,0.0997,73.971061137,<.0001,8.60,<.0001,any_psy
e_any_som,487422,0.4303,0.1609,7.1473153668,0.0075,2.67,0.0075,any_psy
e_any_psy,487422,0,,,,,,any_psy
e_any_oth,487422,0.6741,0.0572,138.6650151,<.0001,11.78,<.0001,any_psy
e_any_slp,487422,0.6628,0.0581,130.14208627,<.0001,11.41,<.0001,any_psy
e_any_sex,487422,0.3945,0.1214,10.557951725,0.0012,3.25,0.0012,any_psy
e_any_sui,487422,0.8600,0.1651,27.13716279,<.0001,5.21,<.0001,any_psy
e_any_per,487422,0.6707,0.1536,19.071328372,<.0001,4.37,<.0001,any_psy
e_any_adhd,319359,0.8708,0.0390,499.88629664,<.0001,22.36,<.0001,any_oth
e_any_sub,319359,0.5479,0.0288,362.15214927,<.0001,19.03,<.0001,any_oth
e_any_dep,319359,0.7137,0.0168,1804.0893198,<.0001,42.47,<.0001,any_oth
e_any_str,319359,0.5675,0.0168,1138.8374775,<.0001,33.75,<.0001,any_oth
