Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,tValue,ProbT,Outcome
e_any_adhd,508492,2.0602,0.0156,17549.059048,<.0001,132.47,<.0001,any_adhd
e_any_MH,508492,1.1582,0.0202,3298.1064909,<.0001,57.43,<.0001,any_adhd
e_any_sub,508492,0.9198,0.0158,3409.9051591,<.0001,58.39,<.0001,any_adhd
e_any_dep,508492,0.8598,0.0123,4894.0467321,<.0001,69.96,<.0001,any_adhd
e_any_str,508492,0.6397,0.0120,2843.5575338,<.0001,53.33,<.0001,any_adhd
e_any_anx,508492,0.6572,0.0125,2778.0434303,<.0001,52.71,<.0001,any_adhd
e_any_phb,508492,0.6540,0.0205,1016.4641612,<.0001,31.88,<.0001,any_adhd
e_any_ptsd,508492,0.7028,0.0219,1030.1325321,<.0001,32.10,<.0001,any_adhd
e_any_som,508492,0.4158,0.0334,154.65386211,<.0001,12.44,<.0001,any_adhd
e_any_psy,508492,0.9024,0.0222,1652.1034145,<.0001,40.65,<.0001,any_adhd
e_any_oth,508492,0.6260,0.0119,2769.958803,<.0001,52.63,<.0001,any_adhd
e_any_slp,508492,0.6609,0.0121,2963.4699476,<.0001,54.44,<.0001,any_adhd
e_any_sex,508492,0.4398,0.0242,331.52694647,<.0001,18.21,<.0001,any_adhd
e_any_sui,508492,1.0261,0.0296,1201.3195166,<.0001,34.66,<.0001,any_adhd
e_any_per,508492,1.0306,0.0253,1656.4036981,<.0001,40.70,<.0001,any_adhd
e_any_adhd,508492,1.0667,0.0119,8101.6629704,<.0001,90.01,<.0001,any_MH
e_any_MH,508492,0.8375,0.00730,13158.524574,<.0001,114.71,<.0001,any_MH
e_any_sub,508492,0.6187,0.00886,4877.9533446,<.0001,69.84,<.0001,any_MH
e_any_dep,508492,0.6995,0.00543,16593.864893,<.0001,128.82,<.0001,any_MH
e_any_str,508492,0.5566,0.00542,10552.734963,<.0001,102.73,<.0001,any_MH
e_any_anx,508492,0.5391,0.00608,7853.2994161,<.0001,88.62,<.0001,any_MH
e_any_phb,508492,0.5151,0.0110,2172.6308407,<.0001,46.61,<.0001,any_MH
e_any_ptsd,508492,0.6642,0.0119,3100.9435505,<.0001,55.69,<.0001,any_MH
e_any_som,508492,0.4678,0.0168,773.72280557,<.0001,27.82,<.0001,any_MH
e_any_psy,508492,0.7587,0.0128,3503.7547202,<.0001,59.19,<.0001,any_MH
e_any_oth,508492,0.5132,0.00549,8724.7015181,<.0001,93.41,<.0001,any_MH
e_any_slp,508492,0.5663,0.00580,9533.9117599,<.0001,97.64,<.0001,any_MH
e_any_sex,508492,0.4100,0.0123,1113.2831594,<.0001,33.37,<.0001,any_MH
e_any_sui,508492,0.8534,0.0183,2171.2770669,<.0001,46.60,<.0001,any_MH
e_any_per,508492,0.8393,0.0155,2942.8684021,<.0001,54.25,<.0001,any_MH
e_any_adhd,508492,0.9205,0.0474,377.26463601,<.0001,19.42,<.0001,any_sub
e_any_MH,508492,0.9566,0.0452,447.71769726,<.0001,21.16,<.0001,any_sub
e_any_sub,508492,1.0464,0.0348,903.35231253,<.0001,30.06,<.0001,any_sub
e_any_dep,508492,0.7413,0.0286,671.60342313,<.0001,25.92,<.0001,any_sub
e_any_str,508492,0.6683,0.0283,558.09354725,<.0001,23.62,<.0001,any_sub
e_any_anx,508492,0.5841,0.0293,396.76214201,<.0001,19.92,<.0001,any_sub
e_any_phb,508492,0.4343,0.0515,70.991648136,<.0001,8.43,<.0001,any_sub
e_any_ptsd,508492,0.7737,0.0488,251.28625999,<.0001,15.85,<.0001,any_sub
e_any_som,508492,0.2453,0.0839,8.5548447245,0.0034,2.92,0.0034,any_sub
e_any_psy,508492,0.9013,0.0500,325.30332065,<.0001,18.04,<.0001,any_sub
e_any_oth,508492,0.4575,0.0279,268.38074544,<.0001,16.38,<.0001,any_sub
e_any_slp,508492,0.5884,0.0285,427.29597233,<.0001,20.67,<.0001,any_sub
e_any_sex,508492,0.6865,0.0511,180.55248361,<.0001,13.44,<.0001,any_sub
e_any_sui,508492,1.0442,0.0660,250.57946287,<.0001,15.83,<.0001,any_sub
e_any_per,508492,0.9141,0.0596,235.60617165,<.0001,15.35,<.0001,any_sub
e_any_adhd,508492,1.0696,0.0162,4377.3413695,<.0001,66.16,<.0001,any_chad
e_any_MH,508492,0.8772,0.0141,3858.6724046,<.0001,62.12,<.0001,any_chad
e_any_sub,508492,0.6561,0.0136,2325.3103836,<.0001,48.22,<.0001,any_chad
e_any_dep,508492,0.7425,0.00950,6104.666188,<.0001,78.13,<.0001,any_chad
e_any_str,508492,0.5931,0.00938,3999.8173782,<.0001,63.24,<.0001,any_chad
e_any_anx,508492,0.5664,0.00997,3223.9105865,<.0001,56.78,<.0001,any_chad
e_any_phb,508492,0.5667,0.0169,1125.0290116,<.0001,33.54,<.0001,any_chad
e_any_ptsd,508492,0.7139,0.0176,1636.5640993,<.0001,40.45,<.0001,any_chad
e_any_som,508492,0.4989,0.0258,373.53589211,<.0001,19.33,<.0001,any_chad
e_any_psy,508492,0.7406,0.0188,1550.6296068,<.0001,39.38,<.0001,any_chad
e_any_oth,508492,0.5273,0.00935,3177.2875454,<.0001,56.37,<.0001,any_chad
e_any_slp,508492,0.5053,0.00970,2713.5358558,<.0001,52.09,<.0001,any_chad
e_any_sex,508492,0.3704,0.0198,349.11071503,<.0001,18.68,<.0001,any_chad
e_any_sui,508492,0.8825,0.0255,1200.4458612,<.0001,34.65,<.0001,any_chad
e_any_per,508492,0.9305,0.0215,1875.507907,<.0001,43.31,<.0001,any_chad
e_any_adhd,508492,0.6503,0.0221,866.53664268,<.0001,29.44,<.0001,any_dep
e_any_MH,508492,1.0450,0.0186,3167.883402,<.0001,56.28,<.0001,any_dep
e_any_sub,508492,0.6141,0.0166,1374.4369419,<.0001,37.07,<.0001,any_dep
e_any_dep,508492,0.8717,0.0118,5497.7374882,<.0001,74.15,<.0001,any_dep
e_any_str,508492,0.6378,0.0115,3084.0398622,<.0001,55.53,<.0001,any_dep
e_any_anx,508492,0.5322,0.0121,1921.3542629,<.0001,43.83,<.0001,any_dep
e_any_phb,508492,0.4636,0.0212,478.09587951,<.0001,21.87,<.0001,any_dep
e_any_ptsd,508492,0.6712,0.0214,983.54437333,<.0001,31.36,<.0001,any_dep
e_any_som,508492,0.4129,0.0324,162.70365988,<.0001,12.76,<.0001,any_dep
e_any_psy,508492,0.7461,0.0224,1104.8298078,<.0001,33.24,<.0001,any_dep
e_any_oth,508492,0.5126,0.0114,2023.686586,<.0001,44.99,<.0001,any_dep
e_any_slp,508492,0.5618,0.0117,2300.8517193,<.0001,47.97,<.0001,any_dep
e_any_sex,508492,0.5037,0.0228,487.88153825,<.0001,22.09,<.0001,any_dep
e_any_sui,508492,0.8469,0.0308,753.71528829,<.0001,27.45,<.0001,any_dep
e_any_per,508492,0.7517,0.0271,771.11427406,<.0001,27.77,<.0001,any_dep
e_any_adhd,508492,0.7303,0.0324,509.35005997,<.0001,22.57,<.0001,any_str
e_any_MH,508492,1.5341,0.0352,1900.1644202,<.0001,43.59,<.0001,any_str
e_any_sub,508492,0.8097,0.0237,1165.6013036,<.0001,34.14,<.0001,any_str
e_any_dep,508492,0.9711,0.0186,2738.7798578,<.0001,52.33,<.0001,any_str
e_any_str,508492,1.2239,0.0191,4097.6215221,<.0001,64.01,<.0001,any_str
e_any_anx,508492,0.6491,0.0184,1246.4235658,<.0001,35.30,<.0001,any_str
e_any_phb,508492,0.4691,0.0322,212.4858888,<.0001,14.58,<.0001,any_str
e_any_ptsd,508492,1.0085,0.0292,1196.8102159,<.0001,34.59,<.0001,any_str
e_any_som,508492,0.5476,0.0469,136.10392946,<.0001,11.67,<.0001,any_str
e_any_psy,508492,0.8737,0.0323,733.43327775,<.0001,27.08,<.0001,any_str
e_any_oth,508492,0.5949,0.0176,1138.5056666,<.0001,33.74,<.0001,any_str
e_any_slp,508492,0.6861,0.0179,1469.0758468,<.0001,38.33,<.0001,any_str
e_any_sex,508492,0.6213,0.0334,345.75055288,<.0001,18.59,<.0001,any_str
e_any_sui,508492,1.2211,0.0405,909.68680524,<.0001,30.16,<.0001,any_str
e_any_per,508492,0.9419,0.0380,615.58951188,<.0001,24.81,<.0001,any_str
e_any_adhd,508492,0.5492,0.0264,432.82280153,<.0001,20.80,<.0001,any_anx
