Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_,Outcome
f_any_adhd,1,1.9969,0.0295,4569.1021,<.0001,MLE,any_adhd
f_any_sub,1,1.3879,0.0239,3380.6561,<.0001,MLE,any_adhd
f_any_MH,1,1.0785,0.0240,2024.8215,<.0001,MLE,any_adhd
f_any_dep,1,0.9033,0.0176,2646.1420,<.0001,MLE,any_adhd
f_any_str,1,0.5728,0.0176,1059.4774,<.0001,MLE,any_adhd
f_any_anx,1,0.9162,0.0187,2391.0714,<.0001,MLE,any_adhd
f_any_phb,1,0.9902,0.0320,955.7756,<.0001,MLE,any_adhd
f_any_ptsd,1,1.2308,0.0321,1470.6733,<.0001,MLE,any_adhd
f_any_som,1,0.6530,0.0569,131.5362,<.0001,MLE,any_adhd
f_any_psy,1,1.2449,0.0331,1410.4206,<.0001,MLE,any_adhd
f_any_oth,1,0.6641,0.0179,1371.0960,<.0001,MLE,any_adhd
f_any_slp,1,0.5280,0.0191,763.1215,<.0001,MLE,any_adhd
f_any_sex,1,0.5984,0.1216,24.2050,<.0001,MLE,any_adhd
f_any_per,1,1.4767,0.0398,1373.3073,<.0001,MLE,any_adhd
f_any_sui,1,1.3682,0.0503,739.6846,<.0001,MLE,any_adhd
f_any_adhd,1,0.9777,0.0185,2784.2196,<.0001,MLE,any_MH
f_any_sub,1,0.8944,0.0109,6706.0240,<.0001,MLE,any_MH
f_any_MH,1,0.7455,0.00481,24045.0168,<.0001,MLE,any_MH
f_any_dep,1,0.6578,0.00480,18811.1808,<.0001,MLE,any_MH
f_any_str,1,0.5658,0.00483,13729.8704,<.0001,MLE,any_MH
f_any_anx,1,0.5993,0.00609,9698.0273,<.0001,MLE,any_MH
f_any_phb,1,0.5554,0.0126,1933.7141,<.0001,MLE,any_MH
f_any_ptsd,1,0.9085,0.0147,3807.5726,<.0001,MLE,any_MH
f_any_som,1,0.4913,0.0199,611.1520,<.0001,MLE,any_MH
f_any_psy,1,0.9207,0.0154,3574.5748,<.0001,MLE,any_MH
f_any_oth,1,0.4750,0.00515,8490.8180,<.0001,MLE,any_MH
f_any_slp,1,0.4971,0.00557,7969.8780,<.0001,MLE,any_MH
f_any_sex,1,0.4385,0.0416,111.1653,<.0001,MLE,any_MH
f_any_per,1,1.0279,0.0213,2331.4583,<.0001,MLE,any_MH
f_any_sui,1,1.1598,0.0268,1867.8978,<.0001,MLE,any_MH
f_any_adhd,1,1.2948,0.0219,3489.5992,<.0001,MLE,any_sub
f_any_sub,1,1.7387,0.0127,18833.6394,<.0001,MLE,any_sub
f_any_MH,1,0.8083,0.0113,5141.8694,<.0001,MLE,any_sub
f_any_dep,1,0.6838,0.00916,5569.1698,<.0001,MLE,any_sub
f_any_str,1,0.4564,0.00929,2411.8046,<.0001,MLE,any_sub
f_any_anx,1,0.7852,0.0102,5894.2419,<.0001,MLE,any_sub
f_any_phb,1,0.7385,0.0193,1471.6662,<.0001,MLE,any_sub
f_any_ptsd,1,0.9079,0.0201,2039.5787,<.0001,MLE,any_sub
f_any_som,1,0.4404,0.0335,172.9246,<.0001,MLE,any_sub
f_any_psy,1,1.1773,0.0193,3732.0399,<.0001,MLE,any_sub
