Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_,Outcome
f_any_adhd,1,0.4142,0.0677,37.4136,<.0001,MLE,any_adhd
f_any_sub,1,-0.0655,0.0492,1.7702,0.1834,MLE,any_adhd
f_any_MH,1,0.0281,0.0215,1.7072,0.1913,MLE,any_adhd
f_any_dep,1,0.0258,0.0217,1.4098,0.2351,MLE,any_adhd
f_any_str,1,0.0416,0.0218,3.6526,0.0560,MLE,any_adhd
f_any_anx,1,0.0821,0.0270,9.2503,0.0024,MLE,any_adhd
f_any_phb,1,0.1693,0.0536,9.9547,0.0016,MLE,any_adhd
f_any_ptsd,1,0.1474,0.0604,5.9544,0.0147,MLE,any_adhd
f_any_som,1,0.2252,0.0822,7.5107,0.0061,MLE,any_adhd
f_any_psy,1,0.0580,0.0651,0.7960,0.3723,MLE,any_adhd
f_any_oth,1,0.0981,0.0230,18.2351,<.0001,MLE,any_adhd
f_any_slp,1,-0.0957,0.0260,13.5285,0.0002,MLE,any_adhd
f_any_sex,1,0.0231,0.1906,0.0146,0.9037,MLE,any_adhd
f_any_per,1,0.2571,0.0804,10.2253,0.0014,MLE,any_adhd
f_any_sui,1,0.0304,0.1110,0.0750,0.7842,MLE,any_adhd
f_any_adhd,1,0.0238,0.0192,1.5413,0.2144,MLE,any_MH
f_any_sub,1,-0.0188,0.0112,2.8032,0.0941,MLE,any_MH
f_any_MH,1,0.0153,0.00501,9.3310,0.0023,MLE,any_MH
f_any_dep,1,0.0113,0.00510,4.8648,0.0274,MLE,any_MH
f_any_str,1,0.0256,0.00513,24.9829,<.0001,MLE,any_MH
f_any_anx,1,0.00380,0.00649,0.3434,0.5579,MLE,any_MH
f_any_phb,1,0.0202,0.0135,2.2143,0.1367,MLE,any_MH
f_any_ptsd,1,0.00335,0.0151,0.0491,0.8246,MLE,any_MH
f_any_som,1,0.0100,0.0214,0.2195,0.6394,MLE,any_MH
f_any_psy,1,0.00605,0.0156,0.1493,0.6992,MLE,any_MH
f_any_oth,1,0.0171,0.00550,9.6176,0.0019,MLE,any_MH
f_any_slp,1,-0.0177,0.00592,8.9339,0.0028,MLE,any_MH
f_any_sex,1,0.00938,0.0451,0.0432,0.8353,MLE,any_MH
f_any_per,1,-0.00984,0.0213,0.2143,0.6434,MLE,any_MH
f_any_sui,1,-0.0117,0.0264,0.1983,0.6561,MLE,any_MH
f_any_adhd,1,-0.0276,0.0416,0.4383,0.5079,MLE,any_sub
f_any_sub,1,0.00456,0.0239,0.0363,0.8489,MLE,any_sub
f_any_MH,1,-0.00705,0.0107,0.4331,0.5105,MLE,any_sub
f_any_dep,1,0,0.0109,0.0000,1.0000,MLE,any_sub
f_any_str,1,0.00606,0.0110,0.3050,0.5808,MLE,any_sub
f_any_anx,1,0.00760,0.0139,0.3008,0.5834,MLE,any_sub
f_any_phb,1,0.0252,0.0287,0.7713,0.3798,MLE,any_sub
f_any_ptsd,1,0.0142,0.0322,0.1946,0.6591,MLE,any_sub
f_any_som,1,0.0283,0.0452,0.3921,0.5312,MLE,any_sub
f_any_psy,1,0.0186,0.0332,0.3136,0.5755,MLE,any_sub
f_any_oth,1,-0.0116,0.0118,0.9609,0.3270,MLE,any_sub
f_any_slp,1,-0.0279,0.0128,4.7746,0.0289,MLE,any_sub
f_any_sex,1,0.00853,0.0962,0.0079,0.9293,MLE,any_sub
f_any_per,1,-0.0765,0.0470,2.6495,0.1036,MLE,any_sub
f_any_sui,1,-0.0346,0.0573,0.3648,0.5459,MLE,any_sub
f_any_adhd,1,0.0300,0.0244,1.5115,0.2189,MLE,any_dep
f_any_sub,1,-0.0165,0.0144,1.3003,0.2542,MLE,any_dep
f_any_MH,1,0.0164,0.00643,6.4689,0.0110,MLE,any_dep
f_any_dep,1,0.00731,0.00654,1.2516,0.2632,MLE,any_dep
f_any_str,1,0.0269,0.00656,16.8348,<.0001,MLE,any_dep
f_any_anx,1,0.00995,0.00831,1.4331,0.2313,MLE,any_dep
f_any_phb,1,0.0258,0.0173,2.2356,0.1349,MLE,any_dep
f_any_ptsd,1,-0.00801,0.0195,0.1697,0.6804,MLE,any_dep
f_any_som,1,0.0351,0.0272,1.6684,0.1965,MLE,any_dep
f_any_psy,1,0.0315,0.0199,2.5105,0.1131,MLE,any_dep
f_any_oth,1,0.0146,0.00704,4.3179,0.0377,MLE,any_dep
f_any_slp,1,-0.00739,0.00760,0.9437,0.3313,MLE,any_dep
f_any_sex,1,-0.0523,0.0588,0.7909,0.3738,MLE,any_dep
f_any_per,1,0.0141,0.0271,0.2705,0.6030,MLE,any_dep
f_any_sui,1,0.0191,0.0336,0.3239,0.5692,MLE,any_dep
f_any_adhd,1,0.1048,0.0251,17.3596,<.0001,MLE,any_str
f_any_sub,1,-0.0246,0.0153,2.6022,0.1067,MLE,any_str
f_any_MH,1,0.0206,0.00679,9.2337,0.0024,MLE,any_str
f_any_dep,1,0.0224,0.00689,10.6026,0.0011,MLE,any_str
f_any_str,1,0.0350,0.00692,25.5537,<.0001,MLE,any_str
f_any_anx,1,0.0205,0.00874,5.5030,0.0190,MLE,any_str
