Table,Row,Risk,ASE,LowerCL,UpperCL,ExactLowerCL,ExactUpperCL,Control
Table f_any_adhd * m_any_adhd,Row 1,0.0158,0.0001,0.0155,0.0161,0.0155,0.0161,
Table f_any_adhd * m_any_adhd,Row 2,0.1033,0.0024,0.0985,0.1081,0.0985,0.1082,
Table f_any_adhd * m_any_adhd,Total,0.0174,0.0001,0.0171,0.0177,0.0171,0.0177,
Table f_any_adhd * m_any_adhd,Difference,-0.0875,0.0024,-0.0923,-0.0827,_,_,1
Table f_any_adhd * m_any_sub,Row 1,0.0637,0.0003,0.0632,0.0643,0.0632,0.0643,
Table f_any_adhd * m_any_sub,Row 2,0.1987,0.0032,0.1925,0.2050,0.1925,0.2051,
Table f_any_adhd * m_any_sub,Total,0.0662,0.0003,0.0657,0.0668,0.0657,0.0668,
Table f_any_adhd * m_any_sub,Difference,-0.1350,0.0032,-0.1413,-0.1287,_,_,1
Table f_any_adhd * m_any_dep,Row 1,0.1937,0.0004,0.1928,0.1945,0.1928,0.1945,
Table f_any_adhd * m_any_dep,Row 2,0.3738,0.0039,0.3661,0.3814,0.3661,0.3814,
Table f_any_adhd * m_any_dep,Total,0.1970,0.0004,0.1961,0.1978,0.1961,0.1978,
Table f_any_adhd * m_any_dep,Difference,-0.1801,0.0039,-0.1877,-0.1724,_,_,1
Table f_any_adhd * m_any_str,Row 1,0.1662,0.0004,0.1654,0.1670,0.1654,0.1670,
Table f_any_adhd * m_any_str,Row 2,0.2778,0.0036,0.2707,0.2848,0.2707,0.2849,
Table f_any_adhd * m_any_str,Total,0.1683,0.0004,0.1675,0.1691,0.1675,0.1691,
Table f_any_adhd * m_any_str,Difference,-0.1116,0.0036,-0.1186,-0.1045,_,_,1
Table f_any_adhd * m_any_anx,Row 1,0.0909,0.0003,0.0903,0.0915,0.0903,0.0915,
Table f_any_adhd * m_any_anx,Row 2,0.2058,0.0032,0.1994,0.2121,0.1994,0.2122,
Table f_any_adhd * m_any_anx,Total,0.0930,0.0003,0.0924,0.0936,0.0924,0.0936,
Table f_any_adhd * m_any_anx,Difference,-0.1149,0.0033,-0.1213,-0.1085,_,_,1
Table f_any_adhd * m_any_phb,Row 1,0.0206,0.0002,0.0203,0.0209,0.0203,0.0209,
Table f_any_adhd * m_any_phb,Row 2,0.0565,0.0019,0.0529,0.0602,0.0530,0.0603,
Table f_any_adhd * m_any_phb,Total,0.0213,0.0002,0.0210,0.0216,0.0210,0.0216,
Table f_any_adhd * m_any_phb,Difference,-0.0359,0.0019,-0.0395,-0.0323,_,_,1
Table f_any_adhd * m_any_ptsd,Row 1,0.0100,0.0001,0.0098,0.0102,0.0098,0.0102,
Table f_any_adhd * m_any_ptsd,Row 2,0.0304,0.0014,0.0277,0.0331,0.0278,0.0333,
Table f_any_adhd * m_any_ptsd,Total,0.0104,0.0001,0.0101,0.0106,0.0101,0.0106,
