Df,AIC,BIC,Chisq,Chisq diff,Df diff,Pr(>Chisq),model_test
0,NA,NA,3.023929090238056e-9,NA,NA,NA,fit_base...1
1,NA,NA,253.72343480540007,259.4297467642653,1,2.284642456619283e-58,fit_gme
1,NA,NA,878.3395934314034,911.5030285006345,1,3.098975091901997e-200,fit_gmi
1,NA,NA,4.902420371716262,4.902363854399965,1,0.026819958626401498,fit_gmt
1,NA,NA,192.40343218199916,194.93897849902126,1,2.6566198207659633e-44,fit_gfe
1,NA,NA,578.5493055286395,591.906914725869,1,9.641159647216806e-131,fit_gfi
1,NA,NA,4.129767494719134,4.140887509395227,1,0.041859217421433816,fit_gft
3,NA,NA,1136.9654484469581,1145.9515402597433,3,3.905588136451173e-248,fit_gm
3,NA,NA,775.082505127027,771.500835794719,3,6.559824317473393e-167,fit_gf
6,NA,NA,1912.0479540142655,1909.497912995653,6,0,fit_gp
6,NA,NA,1912.0479540142655,NA,NA,NA,fit_gp...1
9,NA,NA,2327.009695274992,414.323948209828,3,1.7472389292826203e-89,fit_cm_mf
9,NA,NA,2024.5217161333849,110.80695639872742,3,7.356417453131518e-24,fit_cm_gm
9,NA,NA,1956.8816161195425,44.06805691876306,3,1.4597708013503265e-9,fit_cm_gf
15,NA,NA,2233.190536049786,316.5577218744065,9,7.986356520903633e-63,fit_cm_gp
21,NA,NA,7363.6472866973,5387.078537082772,15,0,fit_cm_mfgp
18,NA,NA,2648.1522781664016,727.7971857337236,12,4.9267626231112895e-148,fit_cm_mfgp1
18,NA,NA,2648.1522781664016,NA,NA,NA,fit_cm_mfgp1...1
21,NA,NA,2660.5001936346303,12.709415697887191,3,0.005309069648150181,fit_am_mf
30,NA,NA,2833.0675721811085,181.07789840686564,12,2.563373575808057e-32,fit_am_gp
33,NA,NA,2845.4154869876816,194.96834372471034,15,2.232215379557387e-33,fit_am_mfgp
33,NA,NA,2845.4154869876816,NA,NA,NA,fit_am_mfgp...1
42,NA,NA,3876.888689570525,1149.1171156430744,9,1.166980517437389e-241,fit_ig_mf
60,NA,NA,3560.0102315204126,695.5956428514565,27,3.181452404750829e-129,fit_ig_gp
69,NA,NA,4591.483434189397,1750.8020718206174,36,0,fit_ig_mfgp
69,NA,NA,4591.483434189397,NA,NA,NA,fit_ig_mfgp...1
75,NA,NA,11386.797971894495,6349.762221215831,6,0,fit_gen1
78,NA,NA,5865.571857170217,1087.3891019010173,9,2.439801262580157e-228,fit_gen2
84,NA,NA,12660.886390373404,7094.567239441506,15,0,fit_gen3
