Df,AIC,BIC,Chisq,Chisq diff,Df diff,Pr(>Chisq),model_test
108,NA,NA,35327.862873354345,NA,NA,NA,fit_base...1
109,NA,NA,35581.58630869997,259.42974731972936,1,2.284641819673672e-58,fit_gme
109,NA,NA,36206.202466322735,911.5030280232776,1,3.098975832370412e-200,fit_gmi
109,NA,NA,35332.76529425061,4.902364381967089,1,0.026819950433265433,fit_gmt
109,NA,NA,35520.26630579025,194.93897875933365,1,2.6566194732344425e-44,fit_gfe
109,NA,NA,35906.41217860774,591.9069144473614,1,9.641160992045762e-131,fit_gfi
109,NA,NA,35331.99264144282,4.14088810778146,1,0.04185920262481247,fit_gft
111,NA,NA,36464.82832203069,1145.9515404939852,3,3.9055876794233775e-248,fit_gm
111,NA,NA,36102.94537853234,771.5008358484604,3,6.559824141434339e-167,fit_gf
114,NA,NA,37239.910827157306,1909.4979127876616,6,0,fit_gp
114,NA,NA,37239.910827157306,NA,NA,NA,fit_gp...1
117,NA,NA,37654.872567175655,414.32394696945994,3,1.7472400102898167e-89,fit_cm_mf
117,NA,NA,37352.38458941917,110.80695653929872,3,7.356416940665145e-24,fit_cm_gm
117,NA,NA,37284.74448938802,44.068057041884956,3,1.4597707134378905e-9,fit_cm_gf
123,NA,NA,37561.05341372263,316.5577263372959,9,7.986339091372753e-63,fit_cm_gp
129,NA,NA,42691.51014776947,5387.078525155288,15,0,fit_cm_mfgp
126,NA,NA,37976.01514623145,727.7971807143712,12,4.926774818285655e-148,fit_cm_mfgp1
126,NA,NA,37976.01514623145,NA,NA,NA,fit_cm_mfgp1...1
129,NA,NA,37988.36305819846,12.709412110320955,3,0.005309078518864486,fit_am_mf
138,NA,NA,38160.930441508135,181.07789964023218,12,2.5633720813215285e-32,fit_am_gp
141,NA,NA,38173.27835730946,194.96834595042813,15,2.2322130592749946e-33,fit_am_mfgp
141,NA,NA,38173.27835730946,NA,NA,NA,fit_am_mfgp...1
150,NA,NA,39204.751542569604,1149.117096348842,9,1.166991707027709e-241,fit_ig_mf
168,NA,NA,38887.873092146176,695.5956334330143,27,3.181466850077317e-129,fit_ig_gp
177,NA,NA,39919.346292238195,1750.8020595269534,36,0,fit_ig_mfgp
177,NA,NA,39919.346292238195,NA,NA,NA,fit_ig_mfgp...1
183,NA,NA,46714.66082708367,6349.762218543855,6,0,fit_gen1
186,NA,NA,41193.434709797555,1087.3890972761271,9,2.4398068682405747e-228,fit_gen2
192,NA,NA,47988.74923069081,7094.567223854249,15,0,fit_gen3
