lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper
c_ext,|,t1,ce_t,1.252939630264416,0.0025639567868014747,488.6742384716448,0,1.247914367304368,1.257964893224464
c_int,|,t1,ci_t,1.3010518441130317,0.002626329912002807,495.38781786971515,0,1.2959043320739858,1.3061993561520775
c_thd,|,t1,ct_t,2.8796970237582142,0.010741203752886501,268.0981657185628,0,2.85864465125195,2.9007493962644784
m_ext,|,t1,me_t,1.4519734299510936,0.00285101808039594,509.2824349081112,0,1.4463855371942451,1.457561322707942
m_int,|,t1,mi_t,-0.19420152660240445,0.001919798822068423,-101.1572277105413,0,-0.19796426315122098,-0.1904387900535879
m_thd,|,t1,mt_t,1.9719475767418655,0.004104210794506158,480.4693704771422,0,1.9639034713996728,1.9799916820840582
d_ext,|,t1,de_t,1.3627173294816894,0.0027125589420297067,502.3733524706449,0,1.3574008116493692,1.3680338473140097
d_int,|,t1,di_t,0.3247922903319487,0.001943675488776646,167.1021177184128,0,0.3209827563763132,0.32860182428758417
d_thd,|,t1,dt_t,2.0788448206760832,0.004496410741552873,462.33427953206444,0,2.0700320175629408,2.0876576237892257
mm_ext,|,t1,mme_t,1.6040447465531886,0.002336176285643045,686.6111758820747,0,1.5994659251717918,1.6086235679345855
mm_int,|,t1,mmi_t,0.19600328576387666,0.001443797685930419,135.75536771799665,0,0.19317349429849076,0.19883307722926255
mm_thd,|,t1,mmt_t,1.955250555799291,0.0029837504267614017,655.2996317193805,0,1.9494025124239827,1.9610985991745993
md_ext,|,t1,mde_t,1.503526416062294,0.0022839397392163605,658.3038905300396,0,1.4990499764305703,1.508002855694018
md_int,|,t1,mdi_t,0.7219314837432191,0.0016364496248576232,441.1571690182823,0,0.7187241014159841,0.7251388660704542
md_thd,|,t1,mdt_t,2.0254473751686404,0.0033120574195847586,611.537518399236,0,2.0189558619115258,2.031938888425755
dm_ext,|,t1,dme_t,1.604044746553189,0.0023361762856430423,686.6111758820756,0,1.5994659251717922,1.608623567934586
dm_int,|,t1,dmi_t,0.19600328576387688,0.0014437976859304192,135.7553677179968,0,0.19317349429849098,0.19883307722926277
dm_thd,|,t1,dmt_t,1.9552505557992912,0.0029837504267614034,655.2996317193802,0,1.9494025124239829,1.9610985991745995
dd_ext,|,t1,dde_t,1.5035264160622945,0.00228393973921636,658.3038905300399,0,1.4990499764305707,1.5080028556940184
dd_int,|,t1,ddi_t,0.721931483743219,0.0016364496248576234,441.15716901828216,0,0.718724101415984,0.7251388660704541
dd_thd,|,t1,ddt_t,2.0254473751686413,0.0033120574195847586,611.5375183992362,0,2.0189558619115267,2.031938888425756
c_ext,~~,c_int,c_ei_c,0.34976311905712715,0.003635566666706134,96.20594287547934,0,0.3426375393269888,0.3568886987872655
c_ext,~~,c_thd,c_et_c,0.37109814558504656,0.012752201605254152,29.100711945468852,0,0.34610428971515456,0.39609200145493856
c_int,~~,c_thd,c_it_c,0.4723278983774429,0.011770486318554757,40.128154911736715,0,0.4492581691125541,0.49539762764233164
m_ext,~~,m_int,m_ei_c,0.4752353754206579,0.0022014057480608047,215.87813870263935,0,0.47092069943909926,0.47955005140221657
m_ext,~~,m_thd,m_et_c,0.5035994937381892,0.0035232145814167626,142.93750269836835,0,0.49669412004880603,0.5105048674275725
m_int,~~,m_thd,m_it_c,0.5305497477311151,0.0036621505279412986,144.87382309469595,0,0.5233720645903858,0.5377274308718444
d_ext,~~,d_int,d_ei_c,0.4752353754206584,0.0022014057480608043,215.8781387026396,0,0.47092069943909975,0.47955005140221707
d_ext,~~,d_thd,d_et_c,0.5035994937381895,0.0035232145814167617,142.93750269836846,0,0.49669412004880625,0.5105048674275727
d_int,~~,d_thd,d_it_c,0.5305497477311159,0.003662150527941301,144.87382309469606,0,0.5233720645903865,0.5377274308718452
mm_ext,~~,mm_int,mm_ei_c,0.40586978513850863,0.0018534060408899671,218.98589741491205,0,0.4022371760496353,0.40950239422738194
mm_ext,~~,mm_thd,mm_et_c,0.32040417803930415,0.00332463353691849,96.37278048283115,0,0.3138880160451499,0.32692034003345843
mm_int,~~,mm_thd,mm_it_c,0.3712841190673011,0.002576394399306054,144.10996979628027,0,0.3662344788346905,0.37633375929991164
md_ext,~~,md_int,md_ei_c,0.4058697851385086,0.0018534060408899663,218.98589741491213,0,0.40223717604963527,0.4095023942273819
md_ext,~~,md_thd,md_et_c,0.32040417803930415,0.0033246335369184915,96.3727804828311,0,0.3138880160451499,0.32692034003345843
md_int,~~,md_thd,md_it_c,0.3712841190673013,0.0025763943993060544,144.10996979628032,0,0.36623447883469074,0.37633375929991186
dm_ext,~~,dm_int,dm_ei_c,0.40586978513850863,0.0018534060408899663,218.98589741491216,0,0.4022371760496353,0.40950239422738194
dm_ext,~~,dm_thd,dm_et_c,0.32040417803930404,0.00332463353691849,96.37278048283112,0,0.31388801604514976,0.3269203400334583
dm_int,~~,dm_thd,dm_it_c,0.3712841190673011,0.0025763943993060553,144.10996979628018,0,0.3662344788346905,0.37633375929991164
dd_ext,~~,dd_int,dd_ei_c,0.4058697851385086,0.0018534060408899656,218.9858974149122,0,0.40223717604963527,0.4095023942273819
dd_ext,~~,dd_thd,dd_et_c,0.3204041780393045,0.00332463353691849,96.37278048283125,0,0.3138880160451502,0.32692034003345877
dd_int,~~,dd_thd,dd_it_c,0.37128411906730124,0.002576394399306054,144.10996979628032,0,0.3662344788346907,0.3763337592999118
m_ext,~~,d_ext,md_ee_a,0.43000134193533435,0.00377984684177565,113.76157816313362,0,0.4225929782583766,0.4374097056122921
m_ext,~~,d_int,md_ei_a,0.27199450825595745,0.002466810147055636,110.26163021933723,0,0.26715964921103047,0.2768293673008844
m_ext,~~,d_thd,md_et_a,0.24546563666885673,0.004621386870827518,53.11514563265789,0,0.23640788484340855,0.25452338849430495
m_int,~~,d_ext,md_ie_a,0.2719945082559579,0.002466810147055638,110.26163021933733,0,0.26715964921103086,0.2768293673008849
m_int,~~,d_int,md_ii_a,0.32085700284664637,0.0022853089118661995,140.39983880543846,0,0.3163778796858402,0.32533612600745254
