Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_,Outcome
f_any_sub,1,1.2586,0.0269,2187.9625,<.0001,MLE,any_adhd
f_any_dep,1,0.8338,0.0185,2030.2137,<.0001,MLE,any_adhd
f_any_str,1,0.5572,0.0186,894.7797,<.0001,MLE,any_adhd
f_any_anx,1,0.8289,0.0203,1673.4868,<.0001,MLE,any_adhd
f_any_phb,1,0.9282,0.0355,684.0053,<.0001,MLE,any_adhd
f_any_ptsd,1,1.1724,0.0356,1084.1737,<.0001,MLE,any_adhd
f_any_som,1,0.6195,0.0621,99.6242,<.0001,MLE,any_adhd
f_any_psy,1,1.1774,0.0375,983.4522,<.0001,MLE,any_adhd
f_any_oth,1,0.5979,0.0192,974.3674,<.0001,MLE,any_adhd
f_any_slp,1,0.4767,0.0205,540.2995,<.0001,MLE,any_adhd
f_any_sex,1,0.5804,0.1312,19.5856,<.0001,MLE,any_adhd
f_any_per,1,1.4011,0.0463,916.2139,<.0001,MLE,any_adhd
f_any_sui,1,1.3103,0.0571,527.2315,<.0001,MLE,any_adhd
f_any_adhd,1,0.9692,0.0294,1087.3280,<.0001,MLE,any_sub
f_any_dep,1,0.5495,0.0102,2893.9331,<.0001,MLE,any_sub
f_any_str,1,0.4272,0.0103,1711.9512,<.0001,MLE,any_sub
f_any_anx,1,0.5321,0.0122,1904.8086,<.0001,MLE,any_sub
f_any_phb,1,0.5026,0.0241,434.1606,<.0001,MLE,any_sub
f_any_ptsd,1,0.6877,0.0253,738.8282,<.0001,MLE,any_sub
f_any_som,1,0.3227,0.0402,64.5807,<.0001,MLE,any_sub
f_any_psy,1,0.8213,0.0262,982.2176,<.0001,MLE,any_sub
f_any_oth,1,0.3117,0.0110,799.8143,<.0001,MLE,any_sub
f_any_slp,1,0.3991,0.0116,1181.7908,<.0001,MLE,any_sub
f_any_sex,1,0.1966,0.0879,5.0088,0.0252,MLE,any_sub
f_any_per,1,0.9483,0.0343,762.4986,<.0001,MLE,any_sub
f_any_sui,1,0.9784,0.0464,443.8195,<.0001,MLE,any_sub
f_any_adhd,1,0.9230,0.0364,644.3915,<.0001,MLE,any_dep
f_any_sub,1,0.6238,0.0196,1016.9934,<.0001,MLE,any_dep
f_any_str,1,0.4244,0.00823,2660.8862,<.0001,MLE,any_dep
f_any_anx,1,0.4385,0.0120,1333.7795,<.0001,MLE,any_dep
f_any_phb,1,0.3872,0.0259,224.0700,<.0001,MLE,any_dep
f_any_ptsd,1,0.7564,0.0308,601.3494,<.0001,MLE,any_dep
f_any_som,1,0.2723,0.0401,46.0408,<.0001,MLE,any_dep
f_any_psy,1,0.8126,0.0344,557.7865,<.0001,MLE,any_dep
f_any_oth,1,0.3463,0.00916,1429.1911,<.0001,MLE,any_dep
f_any_slp,1,0.3092,0.0101,932.0526,<.0001,MLE,any_dep
f_any_sex,1,0.3798,0.0768,24.4362,<.0001,MLE,any_dep
f_any_per,1,1.0226,0.0545,351.4782,<.0001,MLE,any_dep
f_any_sui,1,0.9407,0.0826,129.6833,<.0001,MLE,any_dep
f_any_adhd,1,0.7150,0.0285,629.0716,<.0001,MLE,any_str
f_any_sub,1,0.5618,0.0173,1057.3559,<.0001,MLE,any_str
f_any_dep,1,0.5087,0.00849,3592.3629,<.0001,MLE,any_str
f_any_anx,1,0.4639,0.0105,1937.7231,<.0001,MLE,any_str
f_any_phb,1,0.4758,0.0208,523.1574,<.0001,MLE,any_str
f_any_ptsd,1,0.7784,0.0243,1029.0439,<.0001,MLE,any_str
f_any_som,1,0.4437,0.0333,177.1092,<.0001,MLE,any_str
f_any_psy,1,0.7517,0.0224,1127.1224,<.0001,MLE,any_str
f_any_oth,1,0.3918,0.00924,1797.7984,<.0001,MLE,any_str
f_any_slp,1,0.3166,0.0100,998.3277,<.0001,MLE,any_str
f_any_sex,1,0.2745,0.0728,14.2058,0.0002,MLE,any_str
f_any_per,1,0.8124,0.0312,679.8581,<.0001,MLE,any_str
f_any_sui,1,1.0024,0.0393,650.0930,<.0001,MLE,any_str
f_any_adhd,1,0.7975,0.0327,594.2883,<.0001,MLE,any_anx
f_any_sub,1,0.6777,0.0198,1166.2943,<.0001,MLE,any_anx
f_any_dep,1,0.4337,0.00950,2085.1567,<.0001,MLE,any_anx
f_any_str,1,0.3307,0.00944,1228.2529,<.0001,MLE,any_anx
f_any_phb,1,0.4471,0.0291,236.3255,<.0001,MLE,any_anx
