Table,StudyType,Statistic,Value,LowerCL,UpperCL,sig
Table m_any_adhd * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,3.5202,3.3394,3.7109,1
Table m_any_adhd * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.3019,2.2199,2.3869,1
Table m_any_adhd * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.7458,1.6832,1.8107,1
Table m_any_adhd * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.2900,2.2008,2.3827,1
Table m_any_adhd * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.5299,2.3599,2.7121,1
Table m_any_adhd * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.2288,3.0112,3.4622,1
Table m_any_adhd * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.8575,1.6448,2.0978,1
Table m_any_adhd * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.2451,3.0148,3.4929,1
Table m_any_adhd * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.8183,1.7513,1.8878,1
Table m_any_adhd * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.6107,1.5473,1.6768,1
Table m_any_adhd * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.7866,1.3816,2.3103,1
Table m_any_adhd * f_any_per,Case-Control (Odds Ratio),Odds Ratio,4.0596,3.7075,4.4451,1
Table m_any_adhd * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.7072,3.3149,4.1459,1
Table m_any_sub * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.6358,2.4883,2.7921,1
Table m_any_sub * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.7324,1.6981,1.7674,1
Table m_any_sub * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.5329,1.5022,1.5642,1
Table m_any_sub * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.7026,1.6624,1.7437,1
Table m_any_sub * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.6530,1.5767,1.7331,1
Table m_any_sub * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.9887,1.8925,2.0899,1
Table m_any_sub * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.3795,1.2751,1.4926,1
Table m_any_sub * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.2720,2.1582,2.3917,1
Table m_any_sub * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.3654,1.3362,1.3952,1
Table m_any_sub * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4904,1.4569,1.5247,1
Table m_any_sub * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.2171,1.0246,1.4459,1
Table m_any_sub * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.5814,2.4134,2.7612,1
Table m_any_sub * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.6602,2.4287,2.9137,1
Table m_any_dep * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.8660,1.7958,1.9390,1
Table m_any_dep * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.5168,2.3437,2.7027,1
Table m_any_dep * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.5287,1.5043,1.5536,1
Table m_any_dep * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.5504,1.5143,1.5873,1
Table m_any_dep * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.4717,1.3990,1.5483,1
Table m_any_dep * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.1306,2.0056,2.2634,1
Table m_any_dep * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.3127,1.2134,1.4202,1
Table m_any_dep * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.2537,2.1067,2.4109,1
Table m_any_dep * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4135,1.3883,1.4391,1
Table m_any_dep * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.3620,1.3353,1.3894,1
Table m_any_dep * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4609,1.2566,1.6984,1
Table m_any_dep * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.7802,2.4983,3.0939,1
Table m_any_dep * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.5617,2.1788,3.0119,1
Table m_any_str * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.7538,1.6954,1.8142,1
Table m_any_str * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.0442,1.9331,2.1617,1
Table m_any_str * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.6631,1.6357,1.6910,1
Table m_any_str * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.5903,1.5578,1.6235,1
Table m_any_str * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.6094,1.5451,1.6763,1
Table m_any_str * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.1779,2.0768,2.2840,1
Table m_any_str * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5584,1.4598,1.6637,1
Table m_any_str * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.1206,2.0295,2.2157,1
Table m_any_str * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4796,1.4531,1.5067,1
Table m_any_str * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.3722,1.3455,1.3994,1
Table m_any_str * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.3155,1.1405,1.5173,1
Table m_any_str * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.2533,2.1198,2.3952,1
Table m_any_str * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.7243,2.5223,2.9426,1
Table m_any_anx * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.9692,1.8941,2.0473,1
Table m_any_anx * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.2195,2.0817,2.3665,1
Table m_any_anx * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.5430,1.5145,1.5720,1
Table m_any_anx * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3917,1.3662,1.4177,1
Table m_any_anx * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.5638,1.4771,1.6555,1
Table m_any_anx * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.7362,1.6401,1.8380,1
Table m_any_anx * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.3124,1.1995,1.4361,1
Table m_any_anx * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.9730,1.8619,2.0906,1
Table m_any_anx * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.3624,1.3355,1.3898,1
Table m_any_anx * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.3121,1.2838,1.3411,1
Table m_any_anx * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4524,1.2452,1.6942,1
Table m_any_anx * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.3564,2.1679,2.5613,1
Table m_any_anx * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.1230,1.9142,2.3545,1
Table m_any_phb * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.2869,2.1664,2.4141,1
Table m_any_phb * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.7419,2.5250,2.9775,1
Table m_any_phb * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.6364,1.5846,1.6898,1
Table m_any_phb * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3778,1.3335,1.4237,1
Table m_any_phb * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.8679,1.8000,1.9385,1
Table m_any_phb * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.1662,2.0136,2.3304,1
Table m_any_phb * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.3300,1.1707,1.5111,1
Table m_any_phb * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.2895,2.1246,2.4672,1
Table m_any_phb * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4380,1.3897,1.4880,1
Table m_any_phb * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4304,1.3794,1.4833,1
Table m_any_phb * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5928,1.2504,2.0289,1
Table m_any_phb * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.6886,2.4386,2.9641,1
Table m_any_phb * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.5630,2.2802,2.8810,1
Table m_any_ptsd * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.4487,2.2706,2.6409,1
Table m_any_ptsd * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.1947,2.8640,3.5637,1
Table m_any_ptsd * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.9161,1.8298,2.0064,1
Table m_any_ptsd * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.7365,1.6578,1.8190,1
Table m_any_ptsd * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.8534,1.7578,1.9543,1
Table m_any_ptsd * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.7922,1.6187,1.9843,1
Table m_any_ptsd * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.4702,1.2313,1.7555,1
Table m_any_ptsd * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.3117,2.0782,2.5713,1
Table m_any_ptsd * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.6214,1.5447,1.7019,1
Table m_any_ptsd * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.5634,1.4850,1.6459,1
Table m_any_ptsd * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.3085,0.8946,1.9138,0
Table m_any_ptsd * f_any_per,Case-Control (Odds Ratio),Odds Ratio,3.1990,2.8149,3.6355,1
Table m_any_ptsd * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.0768,2.6249,3.6065,1
Table m_any_som * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.4036,1.2569,1.5673,1
Table m_any_som * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.8977,1.6206,2.2223,1
Table m_any_som * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.3807,1.3054,1.4604,1
Table m_any_som * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.2326,1.1641,1.3052,1
Table m_any_som * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.4001,1.3089,1.4977,1
Table m_any_som * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.4328,1.2560,1.6346,1
Table m_any_som * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.5160,1.3135,1.7499,1
Table m_any_som * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.7254,1.4998,1.9850,1
Table m_any_som * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.2976,1.2221,1.3777,1
Table m_any_som * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.2225,1.1459,1.3043,1
Table m_any_som * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,2.0469,1.4263,2.9375,1
Table m_any_som * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.9947,1.6696,2.3831,1
Table m_any_som * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.0224,1.6319,2.5063,1
Table m_any_psy * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.7984,2.6506,2.9545,1
Table m_any_psy * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.1728,2.9177,3.4502,1
Table m_any_psy * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.9373,1.8726,2.0043,1
Table m_any_psy * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.6736,1.6172,1.7320,1
Table m_any_psy * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.8476,1.7766,1.9214,1
Table m_any_psy * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.9484,1.8112,2.0959,1
Table m_any_psy * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.4570,2.2820,2.6454,1
Table m_any_psy * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5345,1.3521,1.7414,1
Table m_any_psy * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.5465,1.4918,1.6033,1
Table m_any_psy * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.6022,1.5427,1.6639,1
Table m_any_psy * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5240,1.1735,1.9791,1
Table m_any_psy * f_any_per,Case-Control (Odds Ratio),Odds Ratio,3.2769,2.9636,3.6233,1
Table m_any_psy * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.3878,2.9969,3.8296,1
Table m_any_oth * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.6009,1.5464,1.6573,1
Table m_any_oth * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.0960,1.9749,2.2246,1
Table m_any_oth * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.5725,1.5466,1.5988,1
Table m_any_oth * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.4448,1.4209,1.4692,1
Table m_any_oth * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.5258,1.4941,1.5582,1
Table m_any_oth * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.5106,1.4479,1.5761,1
Table m_any_oth * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.0092,1.9160,2.1071,1
Table m_any_oth * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.3397,1.2463,1.4402,1
Table m_any_oth * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.8672,1.7709,1.9688,1
Table m_any_oth * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.3361,1.3103,1.3624,1
Table m_any_oth * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.3424,1.1601,1.5534,1
Table m_any_oth * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.1637,2.0155,2.3228,1
Table m_any_oth * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.2203,2.0370,2.4201,1
Table m_any_slp * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.7576,1.7012,1.8160,1
Table m_any_slp * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.9044,1.8057,2.0086,1
Table m_any_slp * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.5007,1.4780,1.5238,1
