Variable,DF,Estimate,StdErr,WaldChiSq,ProbChiSq,_ESTTYPE_,Outcome
f_any_adhd,1,1.1379,0.0249,2094.7691,<.0001,MLE,any_adhd
f_any_adhd,1,1.1379,0.0249,2094.7691,<.0001,MLE,any_adhd
f_any_dep,1,0.5472,0.0129,1803.3874,<.0001,MLE,any_adhd
f_any_str,1,0.4118,0.0113,1326.1254,<.0001,MLE,any_adhd
f_any_anx,1,0.6020,0.0130,2157.5336,<.0001,MLE,any_adhd
f_any_phb,1,0.6850,0.0205,1112.8058,<.0001,MLE,any_adhd
f_any_ptsd,1,0.8915,0.0208,1837.0117,<.0001,MLE,any_adhd
f_any_som,1,0.4415,0.0337,171.3048,<.0001,MLE,any_adhd
f_any_psy,1,1.0886,0.0211,2658.2773,<.0001,MLE,any_adhd
f_any_oth,1,0.3538,0.0119,889.8178,<.0001,MLE,any_adhd
f_any_slp,1,0.4588,0.0128,1289.3104,<.0001,MLE,any_adhd
f_any_sex,1,0.2757,0.0805,11.7404,0.0006,MLE,any_adhd
f_any_per,1,1.2054,0.0265,2074.5751,<.0001,MLE,any_adhd
f_any_sui,1,1.3715,0.0308,1977.6884,<.0001,MLE,any_adhd
f_any_sub,1,0.8449,0.0391,466.7621,<.0001,MLE,any_adhd
f_any_dep,1,0.8531,0.0280,928.3813,<.0001,MLE,any_adhd
f_any_str,1,0.5238,0.0225,540.6463,<.0001,MLE,any_adhd
f_any_anx,1,0.8063,0.0249,1048.3213,<.0001,MLE,any_adhd
f_any_phb,1,0.9612,0.0347,768.8385,<.0001,MLE,any_adhd
f_any_ptsd,1,1.1999,0.0338,1259.5555,<.0001,MLE,any_adhd
f_any_som,1,0.6509,0.0576,127.5478,<.0001,MLE,any_adhd
f_any_psy,1,1.2322,0.0367,1125.6698,<.0001,MLE,any_adhd
f_any_oth,1,0.6422,0.0243,700.5591,<.0001,MLE,any_adhd
f_any_slp,1,0.4765,0.0255,348.8982,<.0001,MLE,any_adhd
f_any_sex,1,0.5889,0.1323,19.8083,<.0001,MLE,any_adhd
f_any_per,1,1.4476,0.0432,1121.7752,<.0001,MLE,any_adhd
f_any_sui,1,1.3003,0.0549,561.7988,<.0001,MLE,any_adhd
f_any_adhd,1,1.1379,0.0249,2094.7691,<.0001,MLE,any_sub
f_any_adhd,1,1.1379,0.0249,2094.7691,<.0001,MLE,any_sub
f_any_dep,1,0.5472,0.0129,1803.3874,<.0001,MLE,any_sub
f_any_str,1,0.4118,0.0113,1326.1254,<.0001,MLE,any_sub
f_any_anx,1,0.6020,0.0130,2157.5336,<.0001,MLE,any_sub
f_any_phb,1,0.6850,0.0205,1112.8058,<.0001,MLE,any_sub
f_any_ptsd,1,0.8915,0.0208,1837.0117,<.0001,MLE,any_sub
f_any_som,1,0.4415,0.0337,171.3048,<.0001,MLE,any_sub
f_any_psy,1,1.0886,0.0211,2658.2773,<.0001,MLE,any_sub
f_any_oth,1,0.3538,0.0119,889.8178,<.0001,MLE,any_sub
f_any_slp,1,0.4588,0.0128,1289.3104,<.0001,MLE,any_sub
f_any_sex,1,0.2757,0.0805,11.7404,0.0006,MLE,any_sub
f_any_per,1,1.2054,0.0265,2074.5751,<.0001,MLE,any_sub
f_any_sui,1,1.3715,0.0308,1977.6884,<.0001,MLE,any_sub
f_any_adhd,1,0.8363,0.0190,1933.8109,<.0001,MLE,any_dep
f_any_sub,1,0.5463,0.0135,1630.5329,<.0001,MLE,any_dep
f_any_sub,1,0.5463,0.0135,1630.5329,<.0001,MLE,any_dep
f_any_str,1,0.4031,0.00711,3216.4716,<.0001,MLE,any_dep
f_any_anx,1,0.5155,0.00803,4121.6562,<.0001,MLE,any_dep
f_any_phb,1,0.5181,0.0143,1308.6599,<.0001,MLE,any_dep
f_any_ptsd,1,0.8214,0.0149,3053.2027,<.0001,MLE,any_dep
f_any_som,1,0.4380,0.0223,386.0291,<.0001,MLE,any_dep
f_any_psy,1,0.8212,0.0158,2685.8172,<.0001,MLE,any_dep
f_any_oth,1,0.3704,0.00739,2513.4003,<.0001,MLE,any_dep
f_any_slp,1,0.3725,0.00798,2181.4678,<.0001,MLE,any_dep
f_any_sex,1,0.4232,0.0493,73.8165,<.0001,MLE,any_dep
f_any_per,1,0.9501,0.0207,2114.3224,<.0001,MLE,any_dep
f_any_sui,1,0.9617,0.0252,1460.2648,<.0001,MLE,any_dep
f_any_adhd,1,0.6379,0.0204,976.3336,<.0001,MLE,any_str
f_any_sub,1,0.4449,0.0143,967.9093,<.0001,MLE,any_str
f_any_dep,1,0.4825,0.00774,3889.2100,<.0001,MLE,any_str
f_any_dep,1,0.4825,0.00774,3889.2100,<.0001,MLE,any_str
f_any_anx,1,0.4447,0.00823,2921.7413,<.0001,MLE,any_str
f_any_phb,1,0.4317,0.0152,807.6278,<.0001,MLE,any_str
f_any_ptsd,1,0.7309,0.0156,2187.7221,<.0001,MLE,any_str
