Table,StudyType,Statistic,Value,LowerCL,UpperCL,sig
Table m_any_sub * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.1202,2.9718,3.2761,1
Table m_any_sub * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.7284,1.6853,1.7726,1
Table m_any_sub * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.5096,1.4765,1.5434,1
Table m_any_sub * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.8258,1.7800,1.8727,1
Table m_any_sub * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.9836,1.9053,2.0651,1
Table m_any_sub * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.4369,2.3395,2.5383,1
Table m_any_sub * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5550,1.4555,1.6613,1
Table m_any_sub * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.9701,2.8497,3.0955,1
Table m_any_sub * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4244,1.3917,1.4579,1
Table m_any_sub * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.5821,1.5430,1.6223,1
Table m_any_sub * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.3167,1.1246,1.5417,1
Table m_any_sub * f_any_per,Case-Control (Odds Ratio),Odds Ratio,3.3382,3.1694,3.5159,1
Table m_any_sub * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.9412,3.7100,4.1868,1
Table m_any_adhd * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.3277,2.1559,2.5131,1
Table m_any_adhd * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.3468,2.2215,2.4792,1
Table m_any_adhd * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.6884,1.6154,1.7646,1
Table m_any_adhd * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.2390,2.1323,2.3510,1
Table m_any_adhd * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.6149,2.4431,2.7987,1
Table m_any_adhd * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.3195,3.1067,3.5470,1
Table m_any_adhd * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.9167,1.7119,2.1460,1
Table m_any_adhd * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.4281,3.1900,3.6840,1
Table m_any_adhd * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.9007,1.8124,1.9932,1
Table m_any_adhd * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.6104,1.5319,1.6930,1
Table m_any_adhd * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.8017,1.3901,2.3352,1
Table m_any_adhd * f_any_per,Case-Control (Odds Ratio),Odds Ratio,4.2526,3.9072,4.6286,1
Table m_any_adhd * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.6704,3.2962,4.0871,1
Table m_any_dep * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.7268,1.6816,1.7732,1
Table m_any_dep * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.3079,2.2234,2.3955,1
Table m_any_dep * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.4961,1.4754,1.5171,1
Table m_any_dep * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.6745,1.6484,1.7011,1
Table m_any_dep * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.6788,1.6323,1.7266,1
Table m_any_dep * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.2736,2.2084,2.3409,1
Table m_any_dep * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5484,1.4822,1.6176,1
Table m_any_dep * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.2731,2.2036,2.3448,1
Table m_any_dep * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4480,1.4272,1.4691,1
Table m_any_dep * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4510,1.4285,1.4738,1
Table m_any_dep * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5258,1.3853,1.6805,1
Table m_any_dep * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.5860,2.4833,2.6928,1
Table m_any_dep * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.6160,2.4901,2.7483,1
Table m_any_str * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.5603,1.5172,1.6046,1
Table m_any_str * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.8926,1.8183,1.9698,1
Table m_any_str * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.6201,1.5957,1.6449,1
Table m_any_str * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.5600,1.5350,1.5853,1
Table m_any_str * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.5399,1.4947,1.5864,1
Table m_any_str * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.0769,2.0143,2.1415,1
Table m_any_str * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5091,1.4412,1.5802,1
Table m_any_str * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.9530,1.8898,2.0184,1
Table m_any_str * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4543,1.4326,1.4762,1
Table m_any_str * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.3727,1.3506,1.3952,1
Table m_any_str * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.3537,1.2195,1.5026,1
Table m_any_str * f_any_per,Case-Control (Odds Ratio),Odds Ratio,1.9753,1.8908,2.0636,1
Table m_any_str * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.3893,2.2697,2.5152,1
Table m_any_anx * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.7024,1.6421,1.7650,1
Table m_any_anx * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.2816,2.1774,2.3909,1
Table m_any_anx * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.4779,1.4441,1.5126,1
Table m_any_anx * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3867,1.3605,1.4135,1
Table m_any_anx * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.7766,1.7124,1.8432,1
Table m_any_anx * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.9974,1.9231,2.0747,1
Table m_any_anx * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5179,1.4326,1.6083,1
Table m_any_anx * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.2476,2.1611,2.3375,1
Table m_any_anx * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.3749,1.3472,1.4031,1
Table m_any_anx * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.3446,1.3149,1.3749,1
Table m_any_anx * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4959,1.3166,1.6997,1
Table m_any_anx * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.5470,2.4235,2.6767,1
Table m_any_anx * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.6087,2.4569,2.7700,1
Table m_any_phb * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.6714,1.5558,1.7957,1
Table m_any_phb * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.5552,2.3482,2.7806,1
Table m_any_phb * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.4896,1.4199,1.5627,1
Table m_any_phb * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3682,1.3170,1.4215,1
Table m_any_phb * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.7170,1.6303,1.8084,1
Table m_any_phb * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.1919,2.0441,2.3505,1
Table m_any_phb * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.4263,1.2698,1.6021,1
Table m_any_phb * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.2749,2.1123,2.4501,1
Table m_any_phb * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4020,1.3460,1.4604,1
Table m_any_phb * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.3287,1.2704,1.3897,1
Table m_any_phb * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5120,1.1784,1.9399,1
Table m_any_phb * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.5513,2.3244,2.8003,1
