lhs,dd_ext,dd_int,dd_thd,dm_ext,dm_int,dm_thd,md_ext,md_int,md_thd,mm_ext,mm_int,mm_thd,d_ext,d_int,d_thd,m_ext,m_int,m_thd,c_ext,c_int,c_thd
dd_ext,NA,0.4058697851385086,0.3204041780393045,0.26071960952266127,0.16418607065809848,0.07541470830476163,NA,NA,NA,NA,NA,NA,0.26899123585252016,0.1589378983769428,0.14556423388906595,NA,NA,NA,NA,NA,NA
dd_int,0.4058697851385086,NA,0.3712841190673013,0.16418607065809862,0.23529862241041813,0.1046892201556264,NA,NA,NA,NA,NA,NA,0.20957874112249536,0.20976964332058884,0.1647052980817273,NA,NA,NA,NA,NA,NA
dd_thd,0.3204041780393045,0.3712841190673013,NA,0.0754147083047616,0.1046892201556267,0.09463043710977356,NA,NA,NA,NA,NA,NA,0.13373486018618214,0.1161585071207842,0.1812927308413124,NA,NA,NA,NA,NA,NA
dm_ext,0.26071960952266127,0.16418607065809862,0.0754147083047616,NA,0.40586978513850863,0.32040417803930404,NA,NA,NA,NA,NA,NA,0.26899123585251983,0.15893789837694297,0.14556423388906609,NA,NA,NA,NA,NA,NA
dm_int,0.16418607065809848,0.23529862241041813,0.1046892201556267,0.40586978513850863,NA,0.3712841190673011,NA,NA,NA,NA,NA,NA,0.2095787411224954,0.20976964332058884,0.16470529808172768,NA,NA,NA,NA,NA,NA
dm_thd,0.07541470830476163,0.1046892201556264,0.09463043710977356,0.32040417803930404,0.3712841190673011,NA,NA,NA,NA,NA,NA,NA,0.13373486018618214,0.11615850712078436,0.1812927308413121,NA,NA,NA,NA,NA,NA
md_ext,NA,NA,NA,NA,NA,NA,NA,0.4058697851385086,0.32040417803930415,0.2607196095226613,0.16418607065809876,0.07541470830476171,NA,NA,NA,0.2689912358525203,0.15893789837694225,0.14556423388906586,NA,NA,NA
md_int,NA,NA,NA,NA,NA,NA,0.4058697851385086,NA,0.3712841190673013,0.1641860706580987,0.23529862241041816,0.10468922015562689,NA,NA,NA,0.20957874112249597,0.20976964332058895,0.1647052980817266,NA,NA,NA
md_thd,NA,NA,NA,NA,NA,NA,0.32040417803930415,0.3712841190673013,NA,0.07541470830476162,0.10468922015562668,0.0946304371097736,NA,NA,NA,0.1337348601861823,0.11615850712078496,0.1812927308413125,NA,NA,NA
mm_ext,NA,NA,NA,NA,NA,NA,0.2607196095226613,0.1641860706580987,0.07541470830476162,NA,0.40586978513850863,0.32040417803930415,NA,NA,NA,0.26899123585252027,0.15893789837694264,0.14556423388906595,NA,NA,NA
mm_int,NA,NA,NA,NA,NA,NA,0.16418607065809876,0.23529862241041816,0.10468922015562668,0.40586978513850863,NA,0.3712841190673011,NA,NA,NA,0.20957874112249553,0.20976964332058887,0.1647052980817271,NA,NA,NA
mm_thd,NA,NA,NA,NA,NA,NA,0.07541470830476171,0.10468922015562689,0.0946304371097736,0.32040417803930415,0.3712841190673011,NA,NA,NA,NA,0.1337348601861822,0.11615850712078436,0.18129273084131256,NA,NA,NA
d_ext,0.26899123585252016,0.20957874112249536,0.13373486018618214,0.26899123585251983,0.2095787411224954,0.13373486018618214,NA,NA,NA,NA,NA,NA,NA,0.4752353754206584,0.5035994937381895,0.43000134193533435,0.2719945082559579,0.24546563666885687,0.2689912358525206,0.1589378983769428,0.14556423388906647
d_int,0.1589378983769428,0.20976964332058884,0.1161585071207842,0.15893789837694297,0.20976964332058884,0.11615850712078436,NA,NA,NA,NA,NA,NA,0.4752353754206584,NA,0.5305497477311159,0.27199450825595745,0.32085700284664637,0.22660569315342977,0.2095787411224952,0.20976964332058864,0.1647052980817268
d_thd,0.14556423388906595,0.1647052980817273,0.1812927308413124,0.14556423388906609,0.16470529808172768,0.1812927308413121,NA,NA,NA,NA,NA,NA,0.5035994937381895,0.5305497477311159,NA,0.2454656366688567,0.2266056931534291,0.1855768411324986,0.1337348601861827,0.11615850712078454,0.18129273084131337
m_ext,NA,NA,NA,NA,NA,NA,0.2689912358525203,0.20957874112249597,0.1337348601861823,0.26899123585252027,0.20957874112249553,0.1337348601861822,0.43000134193533435,0.27199450825595745,0.2454656366688567,NA,0.4752353754206579,0.5035994937381892,0.26899123585252027,0.15893789837694275,0.14556423388906603
m_int,NA,NA,NA,NA,NA,NA,0.15893789837694225,0.20976964332058895,0.11615850712078496,0.15893789837694264,0.20976964332058887,0.11615850712078436,0.2719945082559579,0.32085700284664637,0.2266056931534291,0.4752353754206579,NA,0.5305497477311151,0.20957874112249536,0.20976964332058884,0.1647052980817272
m_thd,NA,NA,NA,NA,NA,NA,0.14556423388906586,0.1647052980817266,0.1812927308413125,0.14556423388906595,0.1647052980817271,0.18129273084131256,0.24546563666885687,0.22660569315342977,0.1855768411324986,0.5035994937381892,0.5305497477311151,NA,0.13373486018618222,0.11615850712078424,0.18129273084131264
c_ext,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2689912358525206,0.2095787411224952,0.1337348601861827,0.26899123585252027,0.20957874112249536,0.13373486018618222,NA,0.34976311905712715,0.37109814558504656
c_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1589378983769428,0.20976964332058864,0.11615850712078454,0.15893789837694275,0.20976964332058884,0.11615850712078424,0.34976311905712715,NA,0.4723278983774429
c_thd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14556423388906647,0.1647052980817268,0.18129273084131337,0.14556423388906603,0.1647052980817272,0.18129273084131264,0.37109814558504656,0.4723278983774429,NA
