lhs,dd_ext,dd_int,dd_thd,dm_ext,dm_int,dm_thd,md_ext,md_int,md_thd,mm_ext,mm_int,mm_thd,d_ext,d_int,d_thd,m_ext,m_int,m_thd,c_ext,c_int,c_thd
dd_ext,NA,0.40219091728029543,0.3192998135630245,0.26226221161326824,0.16084703068987494,0.07540211323998407,NA,NA,NA,NA,NA,NA,0.26714295495687335,0.15782758810796613,0.14544103710608958,NA,NA,NA,NA,NA,NA
dd_int,0.40219091728029543,NA,0.3749229166994558,0.1608470306898751,0.23406480841849808,0.10773926516326147,NA,NA,NA,NA,NA,NA,0.20332123969174537,0.20545319456184247,0.16297095437912767,NA,NA,NA,NA,NA,NA
dd_thd,0.3192998135630245,0.3749229166994558,NA,0.07540211323998403,0.10773926516326184,0.09422160675126402,NA,NA,NA,NA,NA,NA,0.13214965207136478,0.11450567663307824,0.18390690453878392,NA,NA,NA,NA,NA,NA
dm_ext,0.26226221161326824,0.1608470306898751,0.07540211323998403,NA,0.4021909172802956,0.31929981356302406,NA,NA,NA,NA,NA,NA,0.267142954956873,0.15782758810796638,0.1454410371060897,NA,NA,NA,NA,NA,NA
dm_int,0.16084703068987494,0.23406480841849808,0.10773926516326184,0.4021909172802956,NA,0.374922916699456,NA,NA,NA,NA,NA,NA,0.20332123969174537,0.20545319456184247,0.16297095437912798,NA,NA,NA,NA,NA,NA
dm_thd,0.07540211323998407,0.10773926516326147,0.09422160675126402,0.31929981356302406,0.374922916699456,NA,NA,NA,NA,NA,NA,NA,0.13214965207136475,0.11450567663307834,0.1839069045387836,NA,NA,NA,NA,NA,NA
md_ext,NA,NA,NA,NA,NA,NA,NA,0.4021909172802956,0.3192998135630242,0.2622622116132683,0.16084703068987524,0.07540211323998414,NA,NA,NA,0.2671429549568735,0.1578275881079656,0.1454410371060895,NA,NA,NA
md_int,NA,NA,NA,NA,NA,NA,0.4021909172802956,NA,0.37492291669945593,0.1608470306898752,0.2340648084184981,0.10773926516326188,NA,NA,NA,0.20332123969174593,0.20545319456184255,0.16297095437912693,NA,NA,NA
md_thd,NA,NA,NA,NA,NA,NA,0.3192998135630242,0.37492291669945593,NA,0.07540211323998407,0.10773926516326182,0.09422160675126408,NA,NA,NA,0.13214965207136498,0.114505676633079,0.18390690453878408,NA,NA,NA
mm_ext,NA,NA,NA,NA,NA,NA,0.2622622116132683,0.1608470306898752,0.07540211323998407,NA,0.4021909172802954,0.3192998135630243,NA,NA,NA,0.26714295495687346,0.157827588107966,0.14544103710608952,NA,NA,NA
mm_int,NA,NA,NA,NA,NA,NA,0.16084703068987524,0.2340648084184981,0.10773926516326182,0.4021909172802954,NA,0.37492291669945566,NA,NA,NA,0.2033212396917455,0.20545319456184252,0.16297095437912754,NA,NA,NA
mm_thd,NA,NA,NA,NA,NA,NA,0.07540211323998414,0.10773926516326188,0.09422160675126408,0.3192998135630243,0.37492291669945566,NA,NA,NA,NA,0.13214965207136486,0.1145056766330784,0.18390690453878403,NA,NA,NA
d_ext,0.26714295495687335,0.20332123969174537,0.13214965207136478,0.267142954956873,0.20332123969174537,0.13214965207136475,NA,NA,NA,NA,NA,NA,NA,0.4692185295296321,0.4984264389021704,0.42977793953896826,0.272487389200121,0.24499430307661543,0.2671429549568738,0.1578275881079662,0.14544103710609008
d_int,0.15782758810796613,0.20545319456184247,0.11450567663307824,0.15782758810796638,0.20545319456184247,0.11450567663307834,NA,NA,NA,NA,NA,NA,0.4692185295296321,NA,0.5299614464563239,0.27248738920012033,0.3255883700634769,0.23053320128160543,0.2033212396917452,0.20545319456184225,0.16297095437912712
d_thd,0.14544103710608958,0.16297095437912767,0.18390690453878392,0.1454410371060897,0.16297095437912798,0.1839069045387836,NA,NA,NA,NA,NA,NA,0.4984264389021704,0.5299614464563239,NA,0.24499430307661532,0.23053320128160457,0.18341762803862569,0.13214965207136534,0.11450567663307858,0.1839069045387848
m_ext,NA,NA,NA,NA,NA,NA,0.2671429549568735,0.20332123969174593,0.13214965207136498,0.26714295495687346,0.2033212396917455,0.13214965207136486,0.42977793953896826,0.27248738920012033,0.24499430307661532,NA,0.46921852952963145,0.4984264389021702,0.26714295495687346,0.15782758810796607,0.14544103710608963
m_int,NA,NA,NA,NA,NA,NA,0.1578275881079656,0.20545319456184255,0.114505676633079,0.157827588107966,0.20545319456184252,0.1145056766330784,0.272487389200121,0.3255883700634769,0.23053320128160457,0.46921852952963145,NA,0.529961446456323,0.20332123969174537,0.20545319456184247,0.1629709543791276
m_thd,NA,NA,NA,NA,NA,NA,0.1454410371060895,0.16297095437912693,0.18390690453878408,0.14544103710608952,0.16297095437912754,0.18390690453878403,0.24499430307661543,0.23053320128160543,0.18341762803862569,0.4984264389021702,0.529961446456323,NA,0.13214965207136486,0.11450567663307828,0.18390690453878417
c_ext,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2671429549568738,0.2033212396917452,0.13214965207136534,0.26714295495687346,0.20332123969174537,0.13214965207136486,NA,0.35053301105644685,0.37840721358264096
c_int,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1578275881079662,0.20545319456184225,0.11450567663307858,0.15782758810796607,0.20545319456184247,0.11450567663307828,0.35053301105644685,NA,0.46844650071851845
c_thd,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14544103710609008,0.16297095437912712,0.1839069045387848,0.14544103710608963,0.1629709543791276,0.18390690453878417,0.37840721358264096,0.46844650071851845,NA
