Table,Statistic,Estimate,LowerCL,UpperCL,sig
Table any_sub * e_any_adhd,Odds Ratio,2.0032,1.7539,2.2879,1
Table any_sub * e_any_dep,Odds Ratio,1.8931,1.7800,2.0134,1
Table any_sub * e_any_str,Odds Ratio,1.8669,1.7555,1.9854,1
Table any_sub * e_any_anx,Odds Ratio,1.5160,1.4163,1.6228,1
Table any_sub * e_any_phb,Odds Ratio,1.3134,1.1534,1.4957,1
Table any_sub * e_any_ptsd,Odds Ratio,1.9586,1.7359,2.2099,1
Table any_sub * e_any_som,Odds Ratio,1.2131,0.9982,1.4743,0
Table any_sub * e_any_psy,Odds Ratio,2.0323,1.7766,2.3248,1
Table any_sub * e_any_oth,Odds Ratio,1.4516,1.3648,1.5440,1
Table any_sub * e_any_slp,Odds Ratio,1.6576,1.5552,1.7668,1
Table any_sub * e_any_sex,Odds Ratio,1.9288,1.7143,2.1701,1
Table any_sub * e_any_sui,Odds Ratio,2.1189,1.7063,2.6314,1
Table any_sub * e_any_per,Odds Ratio,1.8752,1.5788,2.2273,1
Table any_sub * e_any_adhd,Odds Ratio,2.0032,1.7539,2.2879,1
Table any_adhd * e_any_sub,Odds Ratio,2.1324,2.0528,2.2151,1
Table any_adhd * e_any_dep,Odds Ratio,2.0212,1.9688,2.0750,1
Table any_adhd * e_any_str,Odds Ratio,1.7862,1.7403,1.8333,1
Table any_adhd * e_any_anx,Odds Ratio,1.6493,1.6036,1.6964,1
Table any_adhd * e_any_phb,Odds Ratio,1.6473,1.5680,1.7306,1
Table any_adhd * e_any_ptsd,Odds Ratio,1.7188,1.6303,1.8121,1
Table any_adhd * e_any_som,Odds Ratio,1.3152,1.2148,1.4238,1
Table any_adhd * e_any_psy,Odds Ratio,2.0196,1.9099,2.1355,1
Table any_adhd * e_any_oth,Odds Ratio,1.6717,1.6289,1.7158,1
Table any_adhd * e_any_slp,Odds Ratio,1.6991,1.6539,1.7455,1
Table any_adhd * e_any_sex,Odds Ratio,1.4402,1.3631,1.5216,1
Table any_adhd * e_any_sui,Odds Ratio,2.3968,2.2228,2.5845,1
Table any_adhd * e_any_per,Odds Ratio,2.2868,2.1429,2.4403,1
Table any_dep * e_any_adhd,Odds Ratio,1.9332,1.7232,2.1689,1
Table any_dep * e_any_sub,Odds Ratio,1.6917,1.5696,1.8234,1
Table any_dep * e_any_str,Odds Ratio,1.7406,1.6778,1.8057,1
Table any_dep * e_any_anx,Odds Ratio,1.4342,1.3647,1.5073,1
Table any_dep * e_any_phb,Odds Ratio,1.4477,1.3117,1.5979,1
Table any_dep * e_any_ptsd,Odds Ratio,1.8104,1.6012,2.0469,1
