Table,Statistic,Estimate,LowerCL,UpperCL,sig
Table any_MH * e_any_MH,Odds Ratio,2.3107,2.2779,2.3440,1
Table any_MH * e_any_adhd,Odds Ratio,2.9057,2.8390,2.9740,1
Table any_MH * e_any_sub,Odds Ratio,1.8565,1.8245,1.8890,1
Table any_MH * e_any_dep,Odds Ratio,2.0127,1.9914,2.0343,1
Table any_MH * e_any_str,Odds Ratio,1.7447,1.7263,1.7634,1
Table any_MH * e_any_anx,Odds Ratio,1.7141,1.6938,1.7347,1
Table any_MH * e_any_phb,Odds Ratio,1.6731,1.6373,1.7097,1
Table any_MH * e_any_ptsd,Odds Ratio,1.9415,1.8966,1.9874,1
Table any_MH * e_any_som,Odds Ratio,1.5959,1.5442,1.6494,1
Table any_MH * e_any_psy,Odds Ratio,2.1356,2.0826,2.1899,1
Table any_MH * e_any_oth,Odds Ratio,1.6705,1.6526,1.6886,1
Table any_MH * e_any_slp,Odds Ratio,1.7614,1.7415,1.7815,1
Table any_MH * e_any_sex,Odds Ratio,1.5065,1.4706,1.5432,1
Table any_MH * e_any_sui,Odds Ratio,2.3459,2.2632,2.4317,1
Table any_MH * e_any_per,Odds Ratio,2.3130,2.2439,2.3842,1
Table any_sub * e_any_MH,Odds Ratio,2.6038,2.3829,2.8451,1
Table any_sub * e_any_adhd,Odds Ratio,2.5105,2.2878,2.7549,1
Table any_sub * e_any_sub,Odds Ratio,2.8474,2.6596,3.0485,1
Table any_sub * e_any_dep,Odds Ratio,2.0987,1.9843,2.2197,1
Table any_sub * e_any_str,Odds Ratio,1.9510,1.8458,2.0622,1
Table any_sub * e_any_anx,Odds Ratio,1.7934,1.6932,1.8995,1
Table any_sub * e_any_phb,Odds Ratio,1.5438,1.3955,1.7079,1
Table any_sub * e_any_ptsd,Odds Ratio,2.1677,1.9699,2.3853,1
Table any_sub * e_any_som,Odds Ratio,1.2774,1.0837,1.5058,1
Table any_sub * e_any_psy,Odds Ratio,2.4629,2.2331,2.7164,1
Table any_sub * e_any_oth,Odds Ratio,1.5801,1.4959,1.6689,1
Table any_sub * e_any_slp,Odds Ratio,1.8012,1.7034,1.9045,1
Table any_sub * e_any_sex,Odds Ratio,1.9858,1.7966,2.1951,1
Table any_sub * e_any_sui,Odds Ratio,2.8408,2.4962,3.2330,1
Table any_sub * e_any_per,Odds Ratio,2.4945,2.2197,2.8034,1
Table any_adhd * e_any_MH,Odds Ratio,3.1843,3.0608,3.3126,1
Table any_adhd * e_any_adhd,Odds Ratio,7.8475,7.6119,8.0904,1
Table any_adhd * e_any_sub,Odds Ratio,2.5088,2.4326,2.5875,1
Table any_adhd * e_any_dep,Odds Ratio,2.3627,2.3064,2.4203,1
Table any_adhd * e_any_str,Odds Ratio,1.8959,1.8518,1.9410,1
Table any_adhd * e_any_anx,Odds Ratio,1.9294,1.8828,1.9771,1
