Table,Statistic,Estimate,LowerCL,UpperCL,sig
Table any_MH * d_any_MH,Odds Ratio,1.7296,1.7108,1.7486,1
Table any_MH * d_any_adhd,Odds Ratio,2.4755,2.3971,2.5565,1
Table any_MH * d_any_sub,Odds Ratio,1.7535,1.7169,1.7909,1
Table any_MH * d_any_dep,Odds Ratio,1.7011,1.6798,1.7227,1
Table any_MH * d_any_str,Odds Ratio,1.5497,1.5298,1.5700,1
Table any_MH * d_any_anx,Odds Ratio,1.5298,1.5035,1.5566,1
Table any_MH * d_any_phb,Odds Ratio,1.5602,1.5071,1.6152,1
Table any_MH * d_any_ptsd,Odds Ratio,1.5409,1.4790,1.6055,1
Table any_MH * d_any_som,Odds Ratio,1.3560,1.2807,1.4357,1
Table any_MH * d_any_psy,Odds Ratio,1.8903,1.8211,1.9622,1
Table any_MH * d_any_oth,Odds Ratio,1.5248,1.5035,1.5465,1
Table any_MH * d_any_slp,Odds Ratio,1.6090,1.5858,1.6326,1
Table any_MH * d_any_sex,Odds Ratio,1.5006,1.4636,1.5386,1
Table any_MH * d_any_sui,Odds Ratio,2.3112,2.2039,2.4237,1
Table any_MH * d_any_per,Odds Ratio,1.9376,1.8554,2.0233,1
Table any_sub * d_any_MH,Odds Ratio,1.9038,1.7962,2.0178,1
Table any_sub * d_any_adhd,Odds Ratio,2.5789,2.2793,2.9179,1
Table any_sub * d_any_sub,Odds Ratio,2.6561,2.4487,2.8811,1
Table any_sub * d_any_dep,Odds Ratio,1.8433,1.7362,1.9570,1
Table any_sub * d_any_str,Odds Ratio,1.5924,1.4961,1.6949,1
Table any_sub * d_any_anx,Odds Ratio,1.6756,1.5480,1.8138,1
Table any_sub * d_any_phb,Odds Ratio,1.6640,1.4306,1.9354,1
Table any_sub * d_any_ptsd,Odds Ratio,1.8061,1.5181,2.1488,1
Table any_sub * d_any_som,Odds Ratio,1.2230,0.9228,1.6208,0
Table any_sub * d_any_psy,Odds Ratio,2.2089,1.9101,2.5543,1
Table any_sub * d_any_oth,Odds Ratio,1.4477,1.3521,1.5500,1
Table any_sub * d_any_slp,Odds Ratio,1.6171,1.5097,1.7322,1
Table any_sub * d_any_sex,Odds Ratio,2.0403,1.8419,2.2600,1
Table any_sub * d_any_sui,Odds Ratio,2.8417,2.4055,3.3570,1
Table any_sub * d_any_per,Odds Ratio,2.2111,1.8619,2.6258,1
Table any_adhd * d_any_MH,Odds Ratio,2.1024,2.0502,2.1560,1
Table any_adhd * d_any_adhd,Odds Ratio,6.0163,5.7657,6.2777,1
Table any_adhd * d_any_sub,Odds Ratio,2.3974,2.3095,2.4887,1
Table any_adhd * d_any_dep,Odds Ratio,1.9062,1.8576,1.9560,1
Table any_adhd * d_any_str,Odds Ratio,1.6886,1.6440,1.7345,1
Table any_adhd * d_any_anx,Odds Ratio,1.7755,1.7166,1.8366,1
Table any_adhd * d_any_phb,Odds Ratio,1.8267,1.7130,1.9479,1
Table any_adhd * d_any_ptsd,Odds Ratio,1.5687,1.4476,1.6999,1
Table any_adhd * d_any_som,Odds Ratio,1.2521,1.1066,1.4168,1
Table any_adhd * d_any_psy,Odds Ratio,2.1383,2.0006,2.2855,1
Table any_adhd * d_any_oth,Odds Ratio,1.6970,1.6492,1.7461,1
Table any_adhd * d_any_slp,Odds Ratio,1.7571,1.7063,1.8093,1
Table any_adhd * d_any_sex,Odds Ratio,1.5658,1.4906,1.6448,1
Table any_adhd * d_any_sui,Odds Ratio,2.8651,2.6524,3.0949,1
Table any_adhd * d_any_per,Odds Ratio,2.4510,2.2791,2.6359,1
Table any_chad * d_any_MH,Odds Ratio,1.8173,1.7825,1.8528,1
Table any_chad * d_any_adhd,Odds Ratio,2.5606,2.4487,2.6776,1
Table any_chad * d_any_sub,Odds Ratio,1.8287,1.7701,1.8893,1
Table any_chad * d_any_dep,Odds Ratio,1.7291,1.6937,1.7653,1
Table any_chad * d_any_str,Odds Ratio,1.6411,1.6066,1.6763,1
Table any_chad * d_any_anx,Odds Ratio,1.5742,1.5309,1.6186,1
Table any_chad * d_any_phb,Odds Ratio,1.6389,1.5544,1.7280,1
Table any_chad * d_any_ptsd,Odds Ratio,1.6165,1.5158,1.7240,1
Table any_chad * d_any_som,Odds Ratio,1.4479,1.3221,1.5857,1
Table any_chad * d_any_psy,Odds Ratio,1.8924,1.7897,2.0010,1
Table any_chad * d_any_oth,Odds Ratio,1.5592,1.5237,1.5955,1
Table any_chad * d_any_slp,Odds Ratio,1.5463,1.5097,1.5837,1
Table any_chad * d_any_sex,Odds Ratio,1.4626,1.4048,1.5229,1
Table any_chad * d_any_sui,Odds Ratio,2.3197,2.1694,2.4805,1
Table any_chad * d_any_per,Odds Ratio,2.1586,2.0263,2.2994,1
Table any_dep * d_any_MH,Odds Ratio,1.8222,1.7800,1.8655,1
Table any_dep * d_any_adhd,Odds Ratio,1.6950,1.5937,1.8027,1
Table any_dep * d_any_sub,Odds Ratio,1.7176,1.6510,1.7870,1
Table any_dep * d_any_dep,Odds Ratio,1.8517,1.8066,1.8979,1
Table any_dep * d_any_str,Odds Ratio,1.5618,1.5221,1.6025,1
Table any_dep * d_any_anx,Odds Ratio,1.5026,1.4526,1.5542,1
Table any_dep * d_any_phb,Odds Ratio,1.4789,1.3832,1.5812,1
