Table,Statistic,Estimate,LowerCL,UpperCL,sig
Table any_MH * m_any_MH,Odds Ratio,2.1719,2.1453,2.1988,1
Table any_MH * m_any_adhd,Odds Ratio,3.3050,3.2049,3.4083,1
Table any_MH * m_any_sub,Odds Ratio,2.0413,1.9907,2.0931,1
Table any_MH * m_any_dep,Odds Ratio,1.9719,1.9503,1.9938,1
Table any_MH * m_any_str,Odds Ratio,1.6776,1.6591,1.6963,1
Table any_MH * m_any_anx,Odds Ratio,1.7368,1.7135,1.7604,1
Table any_MH * m_any_phb,Odds Ratio,1.7092,1.6642,1.7553,1
Table any_MH * m_any_ptsd,Odds Ratio,2.0996,2.0427,2.1581,1
Table any_MH * m_any_som,Odds Ratio,1.6904,1.6242,1.7593,1
Table any_MH * m_any_psy,Odds Ratio,2.2911,2.2172,2.3674,1
Table any_MH * m_any_oth,Odds Ratio,1.6245,1.6058,1.6434,1
Table any_MH * m_any_slp,Odds Ratio,1.7464,1.7234,1.7698,1
Table any_MH * m_any_sex,Odds Ratio,1.5809,1.4488,1.7250,1
Table any_MH * m_any_sui,Odds Ratio,2.3290,2.2090,2.4556,1
Table any_MH * m_any_per,Odds Ratio,2.6872,2.5792,2.7998,1
Table any_sub * m_any_MH,Odds Ratio,2.3288,2.1692,2.5001,1
Table any_sub * m_any_adhd,Odds Ratio,2.4002,2.1235,2.7131,1
Table any_sub * m_any_sub,Odds Ratio,3.0584,2.7959,3.3456,1
Table any_sub * m_any_dep,Odds Ratio,1.9048,1.8031,2.0123,1
Table any_sub * m_any_str,Odds Ratio,1.8619,1.7625,1.9670,1
Table any_sub * m_any_anx,Odds Ratio,1.7323,1.6269,1.8444,1
Table any_sub * m_any_phb,Odds Ratio,1.4370,1.2662,1.6307,1
Table any_sub * m_any_ptsd,Odds Ratio,2.2499,2.0180,2.5085,1
Table any_sub * m_any_som,Odds Ratio,1.2721,1.0434,1.5508,1
Table any_sub * m_any_psy,Odds Ratio,2.4890,2.1954,2.8218,1
Table any_sub * m_any_oth,Odds Ratio,1.5069,1.4235,1.5952,1
Table any_sub * m_any_slp,Odds Ratio,1.7404,1.6357,1.8517,1
Table any_sub * m_any_sex,Odds Ratio,1.2507,0.7974,1.9616,0
Table any_sub * m_any_sui,Odds Ratio,2.6933,2.2205,3.2667,1
Table any_sub * m_any_per,Odds Ratio,2.6540,2.2798,3.0896,1
Table any_adhd * m_any_MH,Odds Ratio,2.6839,2.6018,2.7686,1
Table any_adhd * m_any_adhd,Odds Ratio,8.6061,8.2872,8.9373,1
Table any_adhd * m_any_sub,Odds Ratio,2.6845,2.5742,2.7996,1
Table any_adhd * m_any_dep,Odds Ratio,2.2141,2.1622,2.2672,1
Table any_adhd * m_any_str,Odds Ratio,1.7149,1.6746,1.7562,1
Table any_adhd * m_any_anx,Odds Ratio,1.8763,1.8263,1.9276,1
Table any_adhd * m_any_phb,Odds Ratio,1.9250,1.8332,2.0214,1
Table any_adhd * m_any_ptsd,Odds Ratio,2.1520,2.0483,2.2608,1
Table any_adhd * m_any_som,Odds Ratio,1.6209,1.4991,1.7527,1
Table any_adhd * m_any_psy,Odds Ratio,2.6198,2.4792,2.7683,1
Table any_adhd * m_any_oth,Odds Ratio,1.7652,1.7227,1.8086,1
Table any_adhd * m_any_slp,Odds Ratio,1.8291,1.7805,1.8789,1
Table any_adhd * m_any_sex,Odds Ratio,1.4719,1.2270,1.7658,1
Table any_adhd * m_any_sui,Odds Ratio,2.5989,2.3808,2.8368,1
Table any_adhd * m_any_per,Odds Ratio,3.0365,2.8438,3.2422,1
Table any_chad * m_any_MH,Odds Ratio,2.3201,2.2664,2.3751,1
Table any_chad * m_any_adhd,Odds Ratio,3.2006,3.0736,3.3329,1
Table any_chad * m_any_sub,Odds Ratio,2.1478,2.0707,2.2278,1
Table any_chad * m_any_dep,Odds Ratio,2.0831,2.0445,2.1224,1
Table any_chad * m_any_str,Odds Ratio,1.7287,1.6966,1.7616,1
Table any_chad * m_any_anx,Odds Ratio,1.8013,1.7628,1.8407,1
Table any_chad * m_any_phb,Odds Ratio,1.8151,1.7430,1.8902,1
Table any_chad * m_any_ptsd,Odds Ratio,2.2315,2.1448,2.3217,1
Table any_chad * m_any_som,Odds Ratio,1.7514,1.6490,1.8601,1
Table any_chad * m_any_psy,Odds Ratio,2.2477,2.1449,2.3554,1
Table any_chad * m_any_oth,Odds Ratio,1.6648,1.6329,1.6973,1
Table any_chad * m_any_slp,Odds Ratio,1.6575,1.6219,1.6939,1
Table any_chad * m_any_sex,Odds Ratio,1.4910,1.2988,1.7118,1
Table any_chad * m_any_sui,Odds Ratio,2.5200,2.3435,2.7097,1
Table any_chad * m_any_per,Odds Ratio,2.9321,2.7764,3.0965,1
Table any_dep * m_any_MH,Odds Ratio,2.5212,2.4485,2.5961,1
Table any_dep * m_any_adhd,Odds Ratio,2.0347,1.9250,2.1506,1
Table any_dep * m_any_sub,Odds Ratio,1.9116,1.8269,2.0003,1
Table any_dep * m_any_dep,Odds Ratio,2.2712,2.2205,2.3230,1
Table any_dep * m_any_str,Odds Ratio,1.8209,1.7802,1.8625,1
Table any_dep * m_any_anx,Odds Ratio,1.6899,1.6462,1.7348,1
Table any_dep * m_any_phb,Odds Ratio,1.6125,1.5338,1.6953,1
Table any_dep * m_any_ptsd,Odds Ratio,2.0762,1.9792,2.1779,1
Table any_dep * m_any_som,Odds Ratio,1.6082,1.4928,1.7325,1
Table any_dep * m_any_psy,Odds Ratio,2.1710,2.0527,2.2962,1
Table any_dep * m_any_oth,Odds Ratio,1.5994,1.5626,1.6372,1
Table any_dep * m_any_slp,Odds Ratio,1.7002,1.6568,1.7448,1
Table any_dep * m_any_sex,Odds Ratio,1.5411,1.3150,1.8060,1
Table any_dep * m_any_sui,Odds Ratio,2.3068,2.1103,2.5215,1
Table any_dep * m_any_per,Odds Ratio,2.2751,2.1228,2.4384,1
Table any_str * m_any_MH,Odds Ratio,3.5900,3.4103,3.7791,1
Table any_str * m_any_adhd,Odds Ratio,2.1518,1.9831,2.3349,1
Table any_str * m_any_sub,Odds Ratio,2.3752,2.2303,2.5295,1
Table any_str * m_any_dep,Odds Ratio,2.3302,2.2501,2.4132,1
Table any_str * m_any_str,Odds Ratio,3.0922,2.9844,3.2039,1
Table any_str * m_any_anx,Odds Ratio,1.8539,1.7822,1.9285,1
Table any_str * m_any_phb,Odds Ratio,1.5935,1.4757,1.7207,1
Table any_str * m_any_ptsd,Odds Ratio,2.9404,2.7571,3.1359,1
Table any_str * m_any_som,Odds Ratio,1.8375,1.6484,2.0484,1
Table any_str * m_any_psy,Odds Ratio,2.3521,2.1669,2.5531,1
Table any_str * m_any_oth,Odds Ratio,1.6897,1.6302,1.7514,1
Table any_str * m_any_slp,Odds Ratio,1.8949,1.8222,1.9704,1
Table any_str * m_any_sex,Odds Ratio,1.4823,1.1498,1.9109,1
Table any_str * m_any_sui,Odds Ratio,2.9468,2.6009,3.3387,1
Table any_str * m_any_per,Odds Ratio,2.8122,2.5549,3.0954,1
Table any_anx * m_any_MH,Odds Ratio,2.4333,2.3531,2.5163,1
Table any_anx * m_any_adhd,Odds Ratio,1.8237,1.7069,1.9485,1
Table any_anx * m_any_sub,Odds Ratio,1.7295,1.6384,1.8258,1
Table any_anx * m_any_dep,Odds Ratio,2.0556,2.0030,2.1096,1
Table any_anx * m_any_str,Odds Ratio,1.7137,1.6696,1.7589,1
Table any_anx * m_any_anx,Odds Ratio,2.1082,2.0484,2.1698,1
Table any_anx * m_any_phb,Odds Ratio,1.8293,1.7315,1.9327,1
Table any_anx * m_any_ptsd,Odds Ratio,1.8793,1.7755,1.9891,1
Table any_anx * m_any_som,Odds Ratio,1.6822,1.5471,1.8290,1
Table any_anx * m_any_psy,Odds Ratio,1.9253,1.8009,2.0583,1
Table any_anx * m_any_oth,Odds Ratio,1.5910,1.5489,1.6342,1
Table any_anx * m_any_slp,Odds Ratio,1.6541,1.6054,1.7043,1
Table any_anx * m_any_sex,Odds Ratio,1.3149,1.0787,1.6029,1
Table any_anx * m_any_sui,Odds Ratio,1.7347,1.5478,1.9442,1
Table any_anx * m_any_per,Odds Ratio,2.1089,1.9441,2.2877,1
Table any_phb * m_any_MH,Odds Ratio,2.1471,2.0294,2.2717,1
Table any_phb * m_any_adhd,Odds Ratio,1.7456,1.5578,1.9561,1
Table any_phb * m_any_sub,Odds Ratio,1.2947,1.1680,1.4351,1
Table any_phb * m_any_dep,Odds Ratio,1.7795,1.7015,1.8612,1
Table any_phb * m_any_str,Odds Ratio,1.5968,1.5264,1.6704,1
Table any_phb * m_any_anx,Odds Ratio,1.7036,1.6183,1.7934,1
Table any_phb * m_any_phb,Odds Ratio,1.9379,1.7678,2.1243,1
Table any_phb * m_any_ptsd,Odds Ratio,1.5577,1.4044,1.7277,1
Table any_phb * m_any_som,Odds Ratio,1.4903,1.2836,1.7303,1
Table any_phb * m_any_psy,Odds Ratio,1.8242,1.6241,2.0489,1
Table any_phb * m_any_oth,Odds Ratio,1.5235,1.4544,1.5960,1
Table any_phb * m_any_slp,Odds Ratio,1.5330,1.4550,1.6152,1
Table any_phb * m_any_sex,Odds Ratio,1.3022,0.9240,1.8352,0
Table any_phb * m_any_sui,Odds Ratio,1.6144,1.3230,1.9699,1
Table any_phb * m_any_per,Odds Ratio,1.8499,1.5993,2.1397,1
Table any_ptsd * m_any_MH,Odds Ratio,5.4368,4.6282,6.3866,1
Table any_ptsd * m_any_adhd,Odds Ratio,2.6291,2.1704,3.1847,1
Table any_ptsd * m_any_sub,Odds Ratio,4.3314,3.8011,4.9356,1
Table any_ptsd * m_any_dep,Odds Ratio,3.0351,2.7639,3.3329,1
Table any_ptsd * m_any_str,Odds Ratio,3.0721,2.7985,3.3724,1
Table any_ptsd * m_any_anx,Odds Ratio,2.2528,2.0410,2.4865,1
Table any_ptsd * m_any_phb,Odds Ratio,2.0880,1.7419,2.5028,1
Table any_ptsd * m_any_ptsd,Odds Ratio,7.7845,6.9363,8.7364,1
Table any_ptsd * m_any_som,Odds Ratio,2.4957,1.9559,3.1845,1
Table any_ptsd * m_any_psy,Odds Ratio,3.7968,3.1999,4.5051,1
Table any_ptsd * m_any_oth,Odds Ratio,1.9887,1.8138,2.1806,1
Table any_ptsd * m_any_slp,Odds Ratio,2.2800,2.0678,2.5141,1
Table any_ptsd * m_any_sex,Odds Ratio,1.2516,0.6248,2.5072,0
Table any_ptsd * m_any_sui,Odds Ratio,5.2501,4.1329,6.6693,1
Table any_ptsd * m_any_per,Odds Ratio,4.5438,3.7074,5.5689,1
Table any_som * m_any_MH,Odds Ratio,1.9508,1.7752,2.1437,1
Table any_som * m_any_adhd,Odds Ratio,1.8393,1.5193,2.2267,1
Table any_som * m_any_sub,Odds Ratio,1.5586,1.3229,1.8363,1
Table any_som * m_any_dep,Odds Ratio,1.6854,1.5603,1.8205,1
Table any_som * m_any_str,Odds Ratio,1.6021,1.4829,1.7308,1
Table any_som * m_any_anx,Odds Ratio,1.7548,1.6075,1.9157,1
Table any_som * m_any_phb,Odds Ratio,1.6602,1.4070,1.9590,1
Table any_som * m_any_ptsd,Odds Ratio,2.2207,1.9055,2.5880,1
Table any_som * m_any_som,Odds Ratio,2.5716,2.1034,3.1441,1
Table any_som * m_any_psy,Odds Ratio,1.8048,1.4787,2.2027,1
Table any_som * m_any_oth,Odds Ratio,1.5415,1.4238,1.6690,1
Table any_som * m_any_slp,Odds Ratio,1.4873,1.3591,1.6277,1
Table any_som * m_any_sex,Odds Ratio,1.3059,0.7216,2.3632,0
Table any_som * m_any_sui,Odds Ratio,1.6320,1.1630,2.2900,1
Table any_som * m_any_per,Odds Ratio,2.3416,1.8740,2.9259,1
Table any_psy * m_any_MH,Odds Ratio,3.5153,3.0074,4.1089,1
Table any_psy * m_any_adhd,Odds Ratio,3.0158,2.4463,3.7178,1
Table any_psy * m_any_sub,Odds Ratio,2.2928,1.8974,2.7706,1
Table any_psy * m_any_dep,Odds Ratio,2.5345,2.2814,2.8156,1
Table any_psy * m_any_str,Odds Ratio,2.3088,2.0793,2.5637,1
Table any_psy * m_any_anx,Odds Ratio,1.8791,1.6719,2.1119,1
Table any_psy * m_any_phb,Odds Ratio,1.5187,1.2000,1.9221,1
Table any_psy * m_any_ptsd,Odds Ratio,2.6237,2.1679,3.1754,1
Table any_psy * m_any_som,Odds Ratio,1.8444,1.3516,2.5168,1
Table any_psy * m_any_psy,Odds Ratio,4.3907,3.6487,5.2836,1
Table any_psy * m_any_oth,Odds Ratio,1.9202,1.7279,2.1339,1
Table any_psy * m_any_slp,Odds Ratio,2.0135,1.7971,2.2559,1
