Table,StudyType,Statistic,Value,LowerCL,UpperCL,sig
Table m_any_MH * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,2.1077,2.0879,2.1276,1
Table m_any_MH * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.4461,2.3943,2.4990,1
Table m_any_MH * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.6593,2.5644,2.7576,1
Table m_any_MH * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.9305,1.9125,1.9488,1
Table m_any_MH * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.7609,1.7444,1.7777,1
Table m_any_MH * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.8209,1.7993,1.8428,1
Table m_any_MH * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.7427,1.7001,1.7864,1
Table m_any_MH * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.4812,2.4106,2.5538,1
Table m_any_MH * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.6345,1.5720,1.6994,1
Table m_any_MH * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.5117,2.4370,2.5886,1
Table m_any_MH * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.6079,1.5918,1.6243,1
Table m_any_MH * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.6439,1.6261,1.6620,1
Table m_any_MH * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5522,1.4306,1.6840,1
Table m_any_MH * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.7968,2.6825,2.9159,1
Table m_any_MH * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.1938,3.0301,3.3664,1
Table m_any_sub * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,2.2442,2.1952,2.2943,1
Table m_any_sub * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,5.6900,5.5504,5.8330,1
Table m_any_sub * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.6502,3.4967,3.8104,1
Table m_any_sub * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.9815,1.9462,2.0174,1
Table m_any_sub * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.5783,1.5498,1.6073,1
Table m_any_sub * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.1926,2.1491,2.2370,1
Table m_any_sub * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.0924,2.0149,2.1729,1
Table m_any_sub * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.4771,2.3814,2.5767,1
Table m_any_sub * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5533,1.4546,1.6586,1
Table m_any_sub * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.2454,3.1251,3.3704,1
Table m_any_sub * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.5353,1.5063,1.5648,1
Table m_any_sub * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.7352,1.7014,1.7698,1
Table m_any_sub * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.4149,1.2269,1.6317,1
Table m_any_sub * f_any_per,Case-Control (Odds Ratio),Odds Ratio,3.5465,3.3772,3.7243,1
Table m_any_sub * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,4.1747,3.9443,4.4185,1
Table m_any_adhd * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,2.9414,2.8064,3.0829,1
Table m_any_adhd * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,4.0051,3.8220,4.1969,1
Table m_any_adhd * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,7.3661,6.9517,7.8052,1
Table m_any_adhd * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.4677,2.3842,2.5541,1
Table m_any_adhd * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.7733,1.7131,1.8355,1
Table m_any_adhd * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,2.4998,2.4096,2.5933,1
Table m_any_adhd * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.6918,2.5280,2.8662,1
Table m_any_adhd * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.4234,3.2147,3.6457,1
Table m_any_adhd * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.9208,1.7179,2.1476,1
Table m_any_adhd * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,3.4720,3.2536,3.7051,1
Table m_any_adhd * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.9428,1.8756,2.0123,1
Table m_any_adhd * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.6955,1.6332,1.7602,1
Table m_any_adhd * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.8189,1.4331,2.3086,1
Table m_any_adhd * f_any_per,Case-Control (Odds Ratio),Odds Ratio,4.3781,4.0492,4.7337,1
Table m_any_adhd * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.9281,3.5593,4.3351,1
Table m_any_dep * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,2.1307,2.1033,2.1584,1
Table m_any_dep * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.1343,2.0885,2.1812,1
Table m_any_dep * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.5184,2.4325,2.6075,1
Table m_any_dep * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.1093,2.0856,2.1332,1
Table m_any_dep * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.6187,1.6003,1.6373,1
Table m_any_dep * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.8083,1.7840,1.8329,1
Table m_any_dep * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.7380,1.6918,1.7855,1
Table m_any_dep * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.3332,2.2678,2.4004,1
Table m_any_dep * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5502,1.4844,1.6188,1
Table m_any_dep * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.3328,2.2647,2.4029,1
Table m_any_dep * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.5492,1.5306,1.5680,1
Table m_any_dep * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.5532,1.5334,1.5733,1
Table m_any_dep * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5543,1.4194,1.7021,1
Table m_any_dep * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.7190,2.6149,2.8273,1
Table m_any_dep * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.7575,2.6293,2.8919,1
Table m_any_str * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,2.1879,2.1576,2.2186,1
Table m_any_str * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.7102,1.6703,1.7509,1
Table m_any_str * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.9479,1.8762,2.0224,1
Table m_any_str * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.7409,1.7201,1.7619,1
Table m_any_str * f_any_str,Case-Control (Odds Ratio),Odds Ratio,2.1505,2.1249,2.1764,1
Table m_any_str * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.5983,1.5753,1.6216,1
Table m_any_str * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.5585,1.5142,1.6042,1
Table m_any_str * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.1096,2.0474,2.1736,1
Table m_any_str * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5126,1.4450,1.5834,1
Table m_any_str * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.9295,1.8692,1.9917,1
Table m_any_str * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.5152,1.4960,1.5347,1
Table m_any_str * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4270,1.4075,1.4467,1
Table m_any_str * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.3446,1.2179,1.4845,1
Table m_any_str * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.0255,1.9418,2.1129,1
Table m_any_str * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.4565,2.3375,2.5816,1
Table m_any_anx * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.8588,1.8261,1.8920,1
Table m_any_anx * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.5946,2.5279,2.6629,1
Table m_any_anx * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.6162,2.5090,2.7280,1
Table m_any_anx * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.7423,1.7158,1.7693,1
Table m_any_anx * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.4396,1.4172,1.4622,1
Table m_any_anx * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.9976,1.9629,2.0329,1
Table m_any_anx * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.8748,1.8123,1.9395,1
Table m_any_anx * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.0763,2.0022,2.1532,1
Table m_any_anx * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5117,1.4279,1.6005,1
Table m_any_anx * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.4018,2.3162,2.4905,1
Table m_any_anx * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4696,1.4457,1.4938,1
Table m_any_anx * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4963,1.4706,1.5224,1
Table m_any_anx * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5561,1.3827,1.7513,1
Table m_any_anx * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.7329,2.6079,2.8639,1
Table m_any_anx * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.8102,2.6556,2.9737,1
Table m_any_phb * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.8128,1.7483,1.8798,1
Table m_any_phb * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.4230,2.3056,2.5464,1
Table m_any_phb * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,2.8429,2.6395,3.0620,1
Table m_any_phb * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.7182,1.6661,1.7719,1
Table m_any_phb * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.3993,1.3560,1.4440,1
Table m_any_phb * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.9725,1.9058,2.0415,1
Table m_any_phb * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,2.3407,2.2054,2.4843,1
Table m_any_phb * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,2.2382,2.0935,2.3928,1
Table m_any_phb * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.4065,1.2536,1.5781,1
Table m_any_phb * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.4256,2.2678,2.5945,1
Table m_any_phb * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.4745,1.4272,1.5234,1
Table m_any_phb * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.4782,1.4281,1.5300,1
Table m_any_phb * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.5672,1.2464,1.9705,1
Table m_any_phb * f_any_per,Case-Control (Odds Ratio),Odds Ratio,2.8720,2.6420,3.1220,1
Table m_any_phb * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,2.7665,2.4958,3.0666,1
Table m_any_ptsd * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,2.3799,2.2495,2.5178,1
Table m_any_ptsd * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,2.6002,2.4280,2.7848,1
Table m_any_ptsd * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,3.1376,2.8384,3.4684,1
Table m_any_ptsd * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,2.0206,1.9338,2.1113,1
Table m_any_ptsd * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.7922,1.7149,1.8730,1
Table m_any_ptsd * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.9475,1.8541,2.0457,1
Table m_any_ptsd * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.8796,1.7138,2.0615,1
Table m_any_ptsd * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,3.6600,3.3870,3.9550,1
Table m_any_ptsd * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5933,1.3646,1.8602,1
Table m_any_ptsd * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,2.5846,2.3559,2.8355,1
Table m_any_ptsd * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.6718,1.5970,1.7501,1
Table m_any_ptsd * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,1.6161,1.5398,1.6961,1
Table m_any_ptsd * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.2709,0.8860,1.8230,0
Table m_any_ptsd * f_any_per,Case-Control (Odds Ratio),Odds Ratio,3.3089,2.9629,3.6953,1
Table m_any_ptsd * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,3.1268,2.7259,3.5867,1
Table m_any_som * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.4301,1.3456,1.5200,1
Table m_any_som * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.3933,1.2499,1.5532,1
Table m_any_som * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.8446,1.5776,2.1569,1
Table m_any_som * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.3715,1.2975,1.4498,1
Table m_any_som * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.2383,1.1702,1.3104,1
Table m_any_som * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.3897,1.3006,1.4848,1
Table m_any_som * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.4323,1.2595,1.6289,1
Table m_any_som * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.5329,1.3352,1.7599,1
Table m_any_som * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.5041,1.2353,1.8315,1
