Table,StudyType,Statistic,Value,LowerCL,UpperCL,sig
Table m_any_MH * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0154,1.0055,1.0254,1
Table m_any_MH * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9814,0.9601,1.0032,0
Table m_any_MH * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.0241,0.9863,1.0634,0
Table m_any_MH * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0113,1.0013,1.0215,1
Table m_any_MH * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0260,1.0157,1.0363,1
Table m_any_MH * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0038,0.9911,1.0167,0
Table m_any_MH * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0204,0.9936,1.0478,0
Table m_any_MH * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.0034,0.9740,1.0336,0
Table m_any_MH * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.0101,0.9686,1.0533,0
Table m_any_MH * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0061,0.9757,1.0374,0
Table m_any_MH * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,1.0172,1.0063,1.0282,1
Table m_any_MH * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9824,0.9711,0.9939,-1
Table m_any_MH * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.0094,0.9240,1.1027,0
Table m_any_MH * f_any_per,Case-Control (Odds Ratio),Odds Ratio,0.9902,0.9498,1.0323,0
Table m_any_MH * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9883,0.9385,1.0408,0
Table m_any_sub * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,0.9930,0.9724,1.0140,0
Table m_any_sub * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,1.0046,0.9586,1.0528,0
Table m_any_sub * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,0.9725,0.8963,1.0552,0
Table m_any_sub * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,0.9997,0.9785,1.0213,0
Table m_any_sub * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0061,0.9847,1.0279,0
Table m_any_sub * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0076,0.9806,1.0354,0
Table m_any_sub * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.0253,0.9692,1.0846,0
Table m_any_sub * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.0142,0.9522,1.0803,0
Table m_any_sub * f_any_som,Case-Control (Odds Ratio),Odds Ratio,1.0284,0.9411,1.1237,0
Table m_any_sub * f_any_psy,Case-Control (Odds Ratio),Odds Ratio,1.0186,0.9544,1.0872,0
Table m_any_sub * f_any_oth,Case-Control (Odds Ratio),Odds Ratio,0.9885,0.9659,1.0116,0
Table m_any_sub * f_any_slp,Case-Control (Odds Ratio),Odds Ratio,0.9723,0.9483,0.9969,-1
Table m_any_sub * f_any_sex,Case-Control (Odds Ratio),Odds Ratio,1.0085,0.8352,1.2178,0
Table m_any_sub * f_any_per,Case-Control (Odds Ratio),Odds Ratio,0.9263,0.8448,1.0157,0
Table m_any_sub * f_any_sui,Case-Control (Odds Ratio),Odds Ratio,0.9655,0.8629,1.0802,0
Table m_any_adhd * f_any_MH,Case-Control (Odds Ratio),Odds Ratio,1.0286,0.9862,1.0728,0
Table m_any_adhd * f_any_sub,Case-Control (Odds Ratio),Odds Ratio,0.9366,0.8505,1.0315,0
Table m_any_adhd * f_any_adhd,Case-Control (Odds Ratio),Odds Ratio,1.5131,1.3250,1.7278,1
Table m_any_adhd * f_any_dep,Case-Control (Odds Ratio),Odds Ratio,1.0260,0.9833,1.0705,0
Table m_any_adhd * f_any_str,Case-Control (Odds Ratio),Odds Ratio,1.0421,0.9986,1.0876,0
Table m_any_adhd * f_any_anx,Case-Control (Odds Ratio),Odds Ratio,1.0856,1.0296,1.1446,1
Table m_any_adhd * f_any_phb,Case-Control (Odds Ratio),Odds Ratio,1.1843,1.0661,1.3156,1
Table m_any_adhd * f_any_ptsd,Case-Control (Odds Ratio),Odds Ratio,1.1587,1.0294,1.3043,1
