Table,Row,Risk,StdErr,LowerCL,UpperCL,_SkipLine
Table any_adhd * e_any_adhd,Row 1,0.0338,0.0003,0.0333,0.0343,
Table any_adhd * e_any_adhd,Row 2,0.2152,0.0025,0.2104,0.2201,
Table any_adhd * e_any_adhd,Total,0.0411,0.0003,0.0406,0.0417,
Table any_adhd * e_any_adhd,Difference,-0.1815,0.0025,-0.1863,-0.1766,1
Table any_adhd * e_any_sub,Row 1,0.0795,0.0004,0.0787,0.0802,
Table any_adhd * e_any_sub,Row 2,0.1780,0.0022,0.1736,0.1824,
Table any_adhd * e_any_sub,Total,0.0835,0.0004,0.0827,0.0842,
Table any_adhd * e_any_sub,Difference,-0.0986,0.0022,-0.1029,-0.0942,1
Table any_adhd * e_any_dep,Row 1,0.4241,0.0008,0.4226,0.4256,
Table any_adhd * e_any_dep,Row 2,0.6351,0.0028,0.6295,0.6406,
Table any_adhd * e_any_dep,Total,0.4327,0.0008,0.4312,0.4342,
Table any_adhd * e_any_dep,Difference,-0.2109,0.0029,-0.2165,-0.2053,1
Table any_adhd * e_any_str,Row 1,0.4169,0.0008,0.4154,0.4184,
Table any_adhd * e_any_str,Row 2,0.5754,0.0029,0.5698,0.5811,
Table any_adhd * e_any_str,Total,0.4233,0.0008,0.4218,0.4248,
Table any_adhd * e_any_str,Difference,-0.1586,0.0029,-0.1643,-0.1528,1
Table any_adhd * e_any_anx,Row 1,0.2237,0.0006,0.2225,0.2250,
Table any_adhd * e_any_anx,Row 2,0.3573,0.0028,0.3518,0.3629,
Table any_adhd * e_any_anx,Total,0.2291,0.0006,0.2279,0.2304,
Table any_adhd * e_any_anx,Difference,-0.1336,0.0028,-0.1392,-0.1281,1
Table any_adhd * e_any_phb,Row 1,0.0510,0.0003,0.0504,0.0517,
Table any_adhd * e_any_phb,Row 2,0.0937,0.0017,0.0904,0.0971,
Table any_adhd * e_any_phb,Total,0.0528,0.0003,0.0521,0.0534,
Table any_adhd * e_any_phb,Difference,-0.0427,0.0017,-0.0460,-0.0394,1
Table any_adhd * e_any_ptsd,Row 1,0.0427,0.0003,0.0421,0.0433,
Table any_adhd * e_any_ptsd,Row 2,0.0826,0.0016,0.0794,0.0857,
Table any_adhd * e_any_ptsd,Total,0.0443,0.0003,0.0437,0.0449,
Table any_adhd * e_any_ptsd,Difference,-0.0399,0.0016,-0.0431,-0.0367,1
Table any_adhd * e_any_som,Row 1,0.0222,0.0002,0.0217,0.0226,
Table any_adhd * e_any_som,Row 2,0.0332,0.0011,0.0311,0.0353,
Table any_adhd * e_any_som,Total,0.0226,0.0002,0.0222,0.0231,
Table any_adhd * e_any_som,Difference,-0.0110,0.0011,-0.0131,-0.0090,1
Table any_adhd * e_any_psy,Row 1,0.0351,0.0003,0.0346,0.0356,
Table any_adhd * e_any_psy,Row 2,0.0823,0.0016,0.0791,0.0855,
Table any_adhd * e_any_psy,Total,0.0370,0.0003,0.0365,0.0376,
Table any_adhd * e_any_psy,Difference,-0.0472,0.0016,-0.0504,-0.0440,1
Table any_adhd * e_any_oth,Row 1,0.3583,0.0007,0.3569,0.3598,
Table any_adhd * e_any_oth,Row 2,0.5109,0.0029,0.5051,0.5166,
Table any_adhd * e_any_oth,Total,0.3645,0.0007,0.3631,0.3660,
Table any_adhd * e_any_oth,Difference,-0.1525,0.0030,-0.1583,-0.1467,1
Table any_adhd * e_any_slp,Row 1,0.2660,0.0007,0.2647,0.2674,
Table any_adhd * e_any_slp,Row 2,0.4124,0.0029,0.4068,0.4181,
Table any_adhd * e_any_slp,Total,0.2720,0.0007,0.2707,0.2733,
Table any_adhd * e_any_slp,Difference,-0.1464,0.0029,-0.1521,-0.1407,1
Table any_adhd * e_any_sex,Row 1,0.0428,0.0003,0.0422,0.0434,
Table any_adhd * e_any_sex,Row 2,0.0649,0.0014,0.0621,0.0677,
Table any_adhd * e_any_sex,Total,0.0437,0.0003,0.0431,0.0443,
Table any_adhd * e_any_sex,Difference,-0.0221,0.0014,-0.0249,-0.0193,1
Table any_adhd * e_any_per,Row 1,0.0229,0.0002,0.0224,0.0233,
Table any_adhd * e_any_per,Row 2,0.0615,0.0014,0.0588,0.0643,
Table any_adhd * e_any_per,Total,0.0244,0.0002,0.0240,0.0249,
Table any_adhd * e_any_per,Difference,-0.0387,0.0014,-0.0414,-0.0359,1
Table any_adhd * e_any_sui,Row 1,0.0162,0.0002,0.0158,0.0165,
Table any_adhd * e_any_sui,Row 2,0.0438,0.0012,0.0415,0.0462,
Table any_adhd * e_any_sui,Total,0.0173,0.0002,0.0169,0.0176,
Table any_adhd * e_any_sui,Difference,-0.0277,0.0012,-0.0300,-0.0253,1
